sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_R3_logFC_WT	PILOT_PCR500X_D14_R3_logFC_WT	PILOT_PCR500X_D14_R2_logFC_WT	PILOT_100X_D14_R2_logFC_WT	PILOT_PCR500X_D14_R1_logFC_WT	PILOT_100X_D14_R1_logFC_WT	PILOT_500X_D14_R2_logFC_WT	PILOT_500X_D14_R3_logFC_WT	PILOT_500X_D14_R1_logFC_WT	PILOT_100X_D14_R3_logFC_M6	PILOT_PCR500X_D14_R3_logFC_M6	PILOT_PCR500X_D14_R2_logFC_M6	PILOT_100X_D14_R2_logFC_M6	PILOT_PCR500X_D14_R1_logFC_M6	PILOT_100X_D14_R1_logFC_M6	PILOT_500X_D14_R2_logFC_M6	PILOT_500X_D14_R3_logFC_M6	PILOT_500X_D14_R1_logFC_M6	PILOT_100X_D14_R3_logFC_M7	PILOT_PCR500X_D14_R3_logFC_M7	PILOT_PCR500X_D14_R2_logFC_M7	PILOT_100X_D14_R2_logFC_M7	PILOT_PCR500X_D14_R1_logFC_M7	PILOT_100X_D14_R1_logFC_M7	PILOT_500X_D14_R2_logFC_M7	PILOT_500X_D14_R3_logFC_M7	PILOT_500X_D14_R1_logFC_M7
1163612791	CTRL00741	-0.3598186796604592	-1.0558470112315275	0.11245264796152259	-0.35192793676159595	-0.1900397739216587	-0.33939457661528144	-1.0878403301490127	-0.015042586351348086	-0.21528632422799956	-1.724220529426091	-1.4169113449430148	-0.9230136165310185	-2.6360328500401073	-1.481108863799681	-3.100472095321982	-2.0352143100102897	-1.337879739120897	-2.717625524436125	-3.3841361558594922	-2.0018305491590427	-2.5908351079136893	-2.309542943333446	-3.259103337741299	-1.6642363133706062	-2.214009032150938	-2.5145917249086	-1.919771976028418
1163612794	CTRL00741	-1.4193032269307981	-2.088114900290083	-7.2376836782829	-3.593617483485502	-1.7473645001473315	-0.13934600682103732	-2.6469749593336283	-2.2059319156449053	-1.7202158508148424	-1.2802987145701663	-7.10734924342995	-2.055336353868316	-2.6683604047643934	-5.956208778281888	-1.0503209813045564	-1.9972897966740806	-2.535350911348299	-2.7730704221405746	-1.9832427027666002	-3.133866047918917	-2.461436334304862	-2.2755184308547185	-2.434467142815552	-1.7512212509981417	-1.8982550997985939	-2.683569020790351	-2.133986096299639
954733919	CTRL00311	-1.7817805376565259	-2.797663177516706	-1.7994607263875428	-0.7686294818720819	-3.210166983576649	-1.5209640597952063	-1.804249528848663	-1.6716465262277531	-1.688468012884659	-0.8633906602746817	-1.232570506127568	-2.237345451582655	-1.00341386835504	-1.5960179143156463	-1.2922133930431674	-1.297831369182976	-1.090945581703021	-1.465128567899844	-1.3296797431107126	-1.226824695243813	-1.7162780931736537	-1.366582200330193	-0.9520745293517915	-3.098296371230488	-2.089752139608925	-1.9329150810208657	-2.5101140748186856
954734137	CTRL00311	-0.6342092099896331	-0.8749764527008344	-0.7243446484846602	-1.5311093687258917	-1.1032301443006853	-1.6012775885289303	-0.5725767582794045	-1.3058499955414034	-1.101587574662391	-0.7428748724776846	-1.697095964223441	-2.1010313849068187	-2.2898842672482886	-2.3671772077153146	-2.868181059599244	-1.946724741699106	-1.7078270619321454	-2.085357271578643	-1.5819743063129303	-1.2215767315150439	-2.5639675871137553	-1.852288616673912	-1.7643094740419822	-1.5419504884634343	-2.4281632811978215	-1.9012623671804336	-2.1724200073935673
903486475	CTRL00208	-1.3756810298885949	-2.5649136921547395	-3.6978922401243506	-1.8064591593659889	-3.482744554971248	-0.15593233586183106	-2.717295042270216	-2.6431770109465917	-2.119127235788935	-3.2509566858265817	-4.485470199063614	-2.472935838230835	-2.4029446648513346	-2.3986042250958675	-2.021334718534702	-3.69819004514324	-3.0356315781117993	-2.937793495057602	-2.4623945711581707	-3.4935601360595525	-3.262863404603587	-3.0434765105970665	-3.6867401019764343	-3.9701918651157486	-3.6713277067535173	-2.644521015620111	-2.728523384306118
903486594	CTRL00208	0.682897025180618	0.15044912379532638	0.1869974896961646	0.2960938890939868	0.6038932418814147	0.7475090291221398	0.6340208476113192	0.3533413372015241	0.17216820828531795	-2.0896969389061057	-2.336418208622977	-2.3890267963235194	-3.42354414943014	-3.65586970349775	-0.7251397873392713	-2.1122698585946824	-1.618144244402218	-2.303018030109988	-2.3802043902833843	-0.9364534608426073	-1.8033814277017584	-1.8315531941549212	-2.163519293161002	-2.0713013896133976	-1.6206361092558341	-1.7431545133516844	-1.4637260495796942
1148671387	CTRL00731	1.5750091474803678	1.3241558408498275	1.4194282148448711	1.1868652528193555	1.585903516876024	1.1043435116363238	0.8085853464383671	0.7202684611707868	0.7398348367064483	-2.19855517240505	-2.388413317491579	-2.8437342505707246	-2.3863775242027967	-2.7883463145423506	-1.5636705699931726	-2.173386403750672	-2.034018187937304	-2.609881967364472	-2.122586649822238	-1.4189268007160791	-1.7773325365931676	-1.7931466829026237	-2.922355792018551	-1.4147593930177578	-1.9186563858657262	-1.993609504290174	-2.232614119302861
1148671388	CTRL00731	-0.8622946284575621	-0.6298014792879499	-0.48008884384402	-0.6469801289535434	-0.6809099145525107	0.34844072958611716	-0.8195117720230628	-0.8360706409401227	-0.8168322065882981	-1.159523640625473	-2.6428334908096542	-1.1959736586686982	-1.6748882505965086	-2.533271698673736	-2.0807152041501777	-1.0650369969032465	-1.6697393384821444	-0.9528090153887263	0.18984343964480294	-0.6931105309606936	-0.4898837099832276	0.012045096808439773	-0.16182565264093257	0.2704044733148618	0.04320817599723169	-0.18547716339523532	0.10113471505266225
1077098532	CTRL00449	-2.254767674066324	-2.2301607193372033	-3.0672312758335316	-2.3357147086013352	-3.115071553335372	-1.2645624830596247	-2.0634631165027906	-2.00008022931909	-2.261743839294627	-2.258573316381305	-2.43268364809873	-3.0569174448977225	-2.4758245107251216	-1.4392912860517082	-1.3835054160443936	-2.5429047988635434	-2.7155777704198667	-2.5528308186258064	-1.6195217070648351	-1.2277668950518539	-2.815214515743279	-2.3858950321151426	-2.3005958624343004	-2.5917216780960106	-2.124293359670714	-1.9010635631934607	-1.5935556762003071
1077098736	CTRL00449	-1.1559388589627169	-0.21632762879459014	-1.7080911296871952	-1.8804872103267254	-0.8745188329683364	-1.110166589933369	-1.6865474282196211	-1.5725601173393198	-0.4885522809435256	-1.4883196494137838	-0.9058537678392156	-1.7445414641772279	-1.0715743070895951	-1.2130159036806634	-2.213216530292735	-1.157560129894772	-1.4449145724031764	-1.4930247414182682	-0.9902141175476726	-1.7643709263241167	-1.8945578820533464	-2.150880947818094	-1.08766997183345	-0.42924083035092125	-1.5016447446572843	-1.0748124278141835	-1.4494524097230108
938003320	CTRL00204	-1.123178946725752	-2.0285137832603994	-2.1202727559434082	-2.205372298477325	-2.1332606116946513	-1.83212094962723	-1.9387450795974215	-2.0295266559866314	-1.3368068589213742	-5.608947175655295	-5.159135156010654	-2.192639836428735	-3.5634478684793875	-6.703335081816231	-3.0578927509739766	-2.847946144039329	-2.119863227784695	-2.336516197404989	-1.9906603325150942	-4.811561422805014	-2.1256407581539665	-1.9494082561231514	-2.106131315021214	-0.8512221336393354	-2.6680455658533555	-1.9039484934996773	-2.813607834908887
938003630	CTRL00204	0.01247505483749457	0.3058716797123231	-0.3694171649091288	-0.2876533324927262	-0.8357125599212946	-0.9607213912508068	0.03357713122710328	-0.3496558633969416	-0.3382921760678668	-0.7037482382501643	-1.238079594029166	-0.3170307054909713	-1.9946479111084856	-1.1010852833464198	-1.2514053024175646	-1.0667082521631448	-1.130771713961867	-1.303488306995146	-1.231907909946648	-0.38552135267255927	-2.389490341048502	-1.2346816869555741	-1.424044649961587	-1.3394568470099555	-1.0332503579920018	-0.7768512748820846	-1.5433958835374955
1057734937	CTRL00542	-0.3787921994372957	-0.4185229129497177	-0.3730770797938037	-0.5798613339490033	-0.49339934930193063	-0.8030845801511237	-1.371603395859984	-1.3977234969306271	-1.6481433068663622	-1.366824619104565	-3.5813494395433025	-3.157297765450562	-0.4132602752435956	-2.559450957238137	-0.86912436347376	-0.9809771048203576	-2.1961187047068447	-1.7428192066292014	-0.43438786795303236	-2.0950641639397842	-2.4750112121607017	-1.2273284670653515	-1.6680011238934327	-1.9978263428300123	-2.582007267744834	-1.9153161543870791	-1.8621754144041287
1057735374	CTRL00542	-0.8201547479794288	-4.139109231913597	-0.9198496842847635	-0.2197442624534419	-1.2631923139472676	-1.2489774807479141	-1.5726642753244313	-1.7732906712865908	-1.342372489914228	-2.2600512150191823	-1.5813522462479925	-0.7515970041157174	-2.134028055710041	-1.761614656881117	-2.3520507162231246	-1.1896337140969178	-1.3522798038983852	-1.2026015946921207	-0.8849356148991009	-0.9941655100366223	-1.3962582905290755	-2.987044531869795	-1.7775894081688461	-2.2889787477055785	-0.8184215585412403	-0.8653132931145727	-1.398651237423333
923604459	CTRL00006	-0.4477903352543655	-0.5685986991757416	0.8077943680937655	-0.7299103241186967	0.3924091246720176	-0.25595188920811346	-0.03854807375184829	-0.17212581325523005	-0.5831570910338033	-0.3628782651913337	-0.15816224557796837	-0.38713729422167764	-1.338596303171276	-1.3258961110089655	-0.8958772701041654	-0.2511234637626564	0.14869824973236065	-0.03630326307557471	0.10048972836830825	0.42137574313835907	0.7491208814376747	0.3013019651938002	1.086331070204143	0.12748784216394646	0.057459605490217454	-0.037150857378435674	0.11304228464360724
923602393	CTRL00006	-0.13983478786488063	-0.31953564244384575	0.2687058459863262	-0.06675332407019334	-0.0987661186709967	-0.39501799444446756	0.4434107327341959	0.2580981695003556	0.4763729879667474	1.1597121503025536	0.4162773658638736	1.1823457501435137	0.6161808986484694	0.9871457331456666	0.9290124216992385	-0.2398161028490787	0.16792467672471456	-0.07422114094325148	0.38898067639234335	0.22035871967241782	0.0038834822604069627	0.3939083292268644	0.3027129118693991	0.2125907410818973	0.0469385603052102	0.1553984027449773	0.2336977295780359
1029493410	CTRL00277	-2.628770563606742	-1.2489738087876276	-1.3882609150949237	-1.7882030050953792	-1.1670940304217314	-1.1378946159497447	-2.072992203966016	-1.9403892013451058	-1.7948514061525382	-0.2942031411044956	-2.154368817926342	-2.3266964251180284	-1.2398235459069409	-1.1508186554345694	-2.284343405443881	-2.031268023305379	-1.6342404468137366	-1.5948873350568251	-1.5838974677886823	-1.0440538012050335	-1.6691251450213096	-1.4500421098192955	-1.065976662642247	-1.6042317696285742	-1.0545596118223268	-1.1770780159181773	-0.8032999276371431
1029493591	CTRL00277	1.2236155071092745	1.7265614621317469	1.1393222598383854	0.9443635430262215	1.708470300408783	0.9314444578338793	1.634600081946467	1.354372128058364	1.6253283157675735	-0.5855206887616207	-1.347517994230598	-1.2358858781908286	-0.5883029362512844	-2.0163678856558587	-0.45312400767697103	-0.828728818925605	-0.6769524689436783	-0.32519904781143316	-0.39460994934780513	-0.9051823335320919	-0.988576887710882	-0.8298503809346837	-0.7586494443465971	-0.20261407161847828	-0.3641559023080873	-0.372550509948763	-0.6238146833257731
944242742	CTRL00510	-6.617240056950064	-3.692602104849987	-3.1793683040651497	-4.347250897220464	-4.44327070920608	-1.7812578262617724	-2.306436938553459	-2.0924967418514044	-3.5476718976154986	-2.8477450666803525	-7.013421539465324	-2.8754006156381626	-4.176066331148593	-2.7418906573687196	-3.5957756668844336	-3.1830018300367175	-3.192398356076036	-2.3685362381511923	-3.270889775335178	-1.9348655978001534	-2.946413451965809	-3.51898275657821	-0.9938103230497674	-2.126670449352682	-3.2895755537758236	-1.9864148427105646	-3.460768796849951
