sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
966338650	1111575329	0.602857	0.701497	0.832305	0.934651	0.832519	1.02538	0.971921	0.832719	0.801417
971523031	1048683622	-0.771833	-0.449595	-0.471672	-0.362059	-0.750264	-1.01409	-0.765776	-0.435946	-0.579096
983751016	947973965	0.885353	1.02118	0.930162	0.902118	0.954547	1.14924	1.08843	1.28653	1.50806
918208732	1008213411	0.944056	1.04833	0.89753	0.997698	0.760148	1.29896	0.377468	0.758078	0.966536
1106896786	980293298	-0.11757	0.274657	0.250426	-0.196496	0.0621871	-0.51317	0.452947	0.695193	0.42192
972892250	918912010	0.425573	0.4749	0.145663	0.362826	0.435936	0.0308505	0.658403	0.748692	0.671028
910347790	1047565187	0.628879	0.749026	1.08759	0.170258	0.0940197	-0.00216904	0.483257	0.476336	0.713674
1047565187	910347790	0.352505	0.330172	0.100147	0.0985588	0.158257	-0.0350293	0.852881	0.656739	0.370117
918912010	972892250	0.850086	0.908538	0.603352	1.00784	0.924892	0.8044	1.18404	1.35667	1.38062
980293298	1106896786	0.427762	0.605528	0.509781	0.366909	0.230765	0.42709	0.421141	0.705585	0.474195
1008213411	918208732	1.13162	1.25778	0.91892	1.49395	1.21016	1.37661	0.985272	1.02752	1.52097
947973965	983751016	1.0256	1.07749	0.949814	0.767092	0.649791	1.02928	0.970566	0.771837	1.41605
1048683622	971523031	0.518811	0.544052	0.396203	0.350605	0.582523	0.24735	0.987184	0.688918	0.893042
1111575329	966338650	0.480521	0.751622	0.896948	1.2704	0.929405	1.0787	1.06606	1.24219	1.0454
933471293	1126891518	1.32106	1.04532	1.00468	1.11133	0.819477	0.533156	0.780606	0.675493	0.61069
1012419762	1120472798	0.556284	0.464869	0.268014	0.585331	0.514168	0.714457	0.700956	0.46478	0.686931
1051131573	900826133	0.549459	0.772499	0.601391	0.971424	0.874637	0.926149	1.15769	1.2037	1.11359
924457350	978797100	0.981688	0.713513	0.520965	1.12545	1.12356	0.874069	0.891957	0.889262	0.845469
1071266403	927439214	1.04562	1.29679	1.54413	1.23783	0.934823	0.990686	1.28027	1.34993	1.46516
1046215775	1095904048	0.572398	0.221155	-0.150183	0.309069	0.477852	0.590701	0.426553	0.393906	0.537324
1026105669	1009711944	0.271791	0.483458	0.750255	0.258395	0.382334	-0.0581394	0.787045	0.7829	0.501857
1109495879	1115052901	0.953698	1.015	1.36861	0.553892	0.882665	0.631465	1.44886	1.31963	1.30368
1024707407	1043200385	1.19841	1.282	1.34889	1.18011	1.30469	1.33106	1.45342	1.63102	1.74936
935453371	1066525802	0.377962	0.451665	0.589935	0.486886	0.616332	0.605353	0.155358	0.503468	0.523441
1010891616	1098656079	0.972877	1.06476	0.810153	0.897962	0.754026	0.868453	1.15643	1.12843	1.20525
923918936	1065760938	0.86315	0.818427	0.909269	1.01571	1.1213	1.12767	0.980442	1.10124	1.13879
979418487	1056701480	1.02046	1.12045	0.953759	0.988669	0.799534	0.624084	1.10724	0.968455	1.02859
