sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_R3_logFC_WT	PILOT_PCR500X_D14_R3_logFC_WT	PILOT_PCR500X_D14_R2_logFC_WT	PILOT_100X_D14_R2_logFC_WT	PILOT_PCR500X_D14_R1_logFC_WT	PILOT_100X_D14_R1_logFC_WT	PILOT_500X_D14_R2_logFC_WT	PILOT_500X_D14_R3_logFC_WT	PILOT_500X_D14_R1_logFC_WT	PILOT_100X_D14_R3_logFC_M6	PILOT_PCR500X_D14_R3_logFC_M6	PILOT_PCR500X_D14_R2_logFC_M6	PILOT_100X_D14_R2_logFC_M6	PILOT_PCR500X_D14_R1_logFC_M6	PILOT_100X_D14_R1_logFC_M6	PILOT_500X_D14_R2_logFC_M6	PILOT_500X_D14_R3_logFC_M6	PILOT_500X_D14_R1_logFC_M6	PILOT_100X_D14_R3_logFC_M7	PILOT_PCR500X_D14_R3_logFC_M7	PILOT_PCR500X_D14_R2_logFC_M7	PILOT_100X_D14_R2_logFC_M7	PILOT_PCR500X_D14_R1_logFC_M7	PILOT_100X_D14_R1_logFC_M7	PILOT_500X_D14_R2_logFC_M7	PILOT_500X_D14_R3_logFC_M7	PILOT_500X_D14_R1_logFC_M7
1163612791	CTRL00741	-0.22327253059537	-1.2578266050045532	-0.08952694581150332	-0.21538178769650665	-0.39201936769468454	-0.20284842755019208	-1.0735900255971478	-0.0007922817994831047	-0.20103601967613463	-1.3576279834170297	-1.4617260415579076	-0.9678283131459112	-2.269440304031046	-1.5259235604145738	-2.7338795493129213	-2.09635911453007	-1.3990245436406772	-2.778770328955905	-3.0984164951369384	-1.995438535630207	-2.584443094384854	-2.023823282610892	-3.2527113242124632	-1.3785166526480523	-2.1405391878361963	-2.441121880593859	-1.8463021317136767
1163612794	CTRL00741	-1.5752811232953496	-1.9104813911894127	-7.0600501691822295	-3.749595379850053	-1.5697309910466613	-0.29532390318558865	-2.7669021293264873	-2.325859085637765	-1.8401430208077016	-1.917795103630038	-7.2145142741998045	-2.1625013846381704	-3.305856793824265	-6.063373809051742	-1.6878173703644281	-2.0882549052813526	-2.626316019955571	-2.864035530747847	-2.1341818654737597	-3.014508532238422	-2.342078818624367	-2.426457593561878	-2.315109627135057	-1.9021604137053012	-1.828729853372806	-2.6140437743645633	-2.0644608498738517
954733919	CTRL00311	-1.9563059693892162	-2.0644348264195442	-1.0662323752903813	-0.9431549136047721	-2.4769386324794875	-1.6954894915278962	-2.0347732694144836	-1.9021702667935738	-1.9189917534504797	-0.8538813815000756	-1.2795607081090494	-2.2843356535641366	-0.9939045895804339	-1.6430081162971277	-1.2827041142685611	-1.2910396469099858	-1.0841538594300308	-1.458336845626854	-0.9989621834334306	-1.3713064774870145	-1.8607598754168548	-1.035864640652911	-1.0965563115949928	-2.7675788115532063	-2.060661904875508	-1.9038248462874487	-2.4810238400852684
954734137	CTRL00311	0.2089996887710859	-0.8784078437167657	-0.7277760395005916	-0.6879004699651725	-1.1066615353166167	-0.7580686897682112	-0.3458843371318669	-1.079157574393866	-0.8748951535148537	-0.44780113014626804	-1.7287095154807768	-2.1326449361641546	-1.9948105249168722	-2.3987907589726505	-2.5731073172678274	-1.866190410590129	-1.6272927308231686	-2.004822940469666	-0.7146162778671055	-0.6238300726092634	-1.9662209282079748	-0.9849305882280868	-1.1665628151362017	-0.6745924600176093	-1.6361373361572236	-1.1092364221398356	-1.3803940623529694
903486475	CTRL00208	-2.0467321579057765	-2.3386165003717525	-3.4715950483413636	-2.4775102873831703	-3.256447363188261	-0.8269834638790127	-2.6867419945736155	-2.6126239632499915	-2.0885741880923345	-2.7034325217029274	-4.203118409874834	-2.190584049042055	-1.85542050072768	-2.1162524359070876	-1.4738105544110474	-3.4446700625331337	-2.7821115955016924	-2.6842735124474957	-2.113832490176228	-3.2684623528976364	-3.037765621441671	-2.6949144296151233	-3.461642318814518	-3.6216297841338054	-3.5228960551637925	-2.4960893640303863	-2.5800917327163932
903486594	CTRL00208	0.7718154292010675	0.7510858441700924	0.7876342100709307	0.3850122931144363	1.2045299622561807	0.8364274331425893	0.9161797759583835	0.6355002655485884	0.45432713663238206	-1.8462124870659793	-1.5441414648741176	-1.5967500525746594	-3.1800596975900133	-2.86359295974889	-0.4816553354991446	-1.5822362644953545	-1.0881106503028897	-1.77298443601066	-2.181593359396072	-0.7409389921566073	-1.6078669590157584	-1.6329421632676089	-1.9680048244750021	-1.8726903587260852	-1.3453207820025808	-1.4678391860984312	-1.1884107223264408
1148671387	CTRL00731	1.84912761173429	1.3832318932822092	1.4785042672772533	1.4609837170732776	1.644979569308406	1.3784619758902463	1.3441111104718175	1.2557942252042373	1.2753606007398988	-2.507713011937164	-2.014920500400584	-2.470241433479729	-2.6955353637349106	-2.414853497451355	-1.872828409525287	-1.7573316124207017	-1.617963396607334	-2.193827176034502	-1.3935660385422175	-0.7705777451974868	-1.1289834810745754	-1.0641260716226035	-2.2740067364999583	-0.6857387817377376	-1.3077916448977907	-1.3827447633222387	-1.6217493783349253
1148671388	CTRL00731	-0.6809567449239098	-1.0798147226589951	-0.9301020872150654	-0.4656422454198911	-1.1309231579235561	0.5297786131197695	-1.1874830757703556	-1.2040419446874158	-1.1848035103355907	-1.3254057362503888	-2.545302791846817	-1.098442959705861	-1.8407703462214242	-2.4357409997108985	-2.2465972997750936	-1.3255077286228083	-1.9302100702017062	-1.2132797471082883	0.030244876600511075	-0.568636889375807	-0.36541006839834106	-0.14755346623585228	-0.03735201105604592	0.11080591027056996	0.0882779407885997	-0.14040739860386744	0.14620447984403015
1077098532	CTRL00449	-2.101024603135682	-1.729034850120335	-2.566105406616663	-2.1819716376706935	-2.613945684118504	-1.110819412128983	-1.763407603161634	-1.700024715977933	-1.9616883259534703	-2.0542431759586113	-2.193978430039793	-2.8182122268387855	-2.271494370302428	-1.2005860679927713	-1.1791752756216995	-2.1846090319130194	-2.3572820034693422	-2.1945350516752824	-0.9279895530036638	-0.48301613531591475	-2.07046375600734	-1.6943628780539715	-1.5558451026983613	-1.9001895240348396	-1.266752465678396	-1.0435226692011428	-0.7360147822079893
1077098736	CTRL00449	-0.9853842918319278	-0.31782015544063963	-1.8095836563332448	-1.709932643195936	-0.9760113596143857	-0.9396120228025798	-1.7950698682539397	-1.6810825573736383	-0.5970747209778441	-1.341970418296997	-1.2266835704534174	-2.0653712667914292	-0.9252250759728081	-1.533845706294865	-2.0668672991759482	-1.4049262648717606	-1.6922807073801653	-1.7403908763952565	-0.9987164649441798	-1.2836792455847355	-1.4138662013139651	-2.1593832952146013	-0.6069782910940686	-0.43774317774742866	-1.2254363796711731	-0.7986040628280723	-1.1732440447368997
