Gene1,Gene2,Scaffold,PILOT_100X_D14,PILOT_500X_D14,PILOT_PCR500X_D14
ACTL6A,NONTARGETING,Modified7,-2.1684525989464376,-2.6087461968130503,-2.4887250554603018
ACTR6,NONTARGETING,Modified7,-0.7392303138191386,-0.6588961127081296,-1.2514630355042684
ADAM2,KIF2B,Modified7,0.21344273763015875,0.24801809280293236,0.5293159094113904
ALYREF,NONTARGETING,Modified7,-3.5372817163955066,-1.4675298804621137,-2.1859724898362263
ANAPC4,NONTARGETING,Modified7,-1.4899454884434664,-1.9084378893589309,-2.242226506318197
ANAPC5,NONTARGETING,Modified7,-2.561323458903358,-2.304383551278834,-2.928865013677785
ANKRD30A,DEFB123,Modified7,1.0689949625548403,1.058236174498681,0.720079673786475
ANTXRL,TSPY1,Modified7,1.3403481858910706,1.3957173686088347,1.474994743634687
AP2S1,INTERGENIC,Modified7,-0.0032207832745048404,-0.09178264695700901,-0.19660753395900318
ARCN1,NONTARGETING,Modified7,-1.2080054431615093,-1.2181496810106591,-1.2619381354911283
ASB17,OPALIN,Modified7,0.6242371855458082,0.7239070997837882,0.8687813037261081
ATP6V0D1,NONTARGETING,Modified7,-0.11244250122213023,0.06579784984524042,0.19562431871795113
ATP6V1G3,IL3,Modified7,0.6557053309064143,0.877470535034518,0.7449684885424409
BIRC8,CSN2,Modified7,0.5790664676878903,0.7339496257873586,0.6339789424002609
BMP10,LYZL2,Modified7,0.6083269917351496,0.6239131015703341,0.11999625484113335
BOP1,NONTARGETING,Modified7,-1.4243681896132774,-1.914193736587551,-2.2722866943304045
BPIFC,SSX3,Modified7,0.15731262319150333,0.5536170440134556,0.5278914037337452
BRIX1,NONTARGETING,Modified7,-0.7229865310451241,-0.5302577039759916,-0.7209971975180718
BSND,CDCP2,Modified7,0.5168239910034327,0.5019150638741218,0.4170650183191852
C12orf40,NMS,Modified7,0.16430972261544535,0.5741358390662047,0.8225314868910312
C1orf146,TFAP2D,Modified7,0.6069170876821631,0.6859663947545901,0.6670207697611863
CACNG2,IFNW1,Modified7,0.7866559610791164,1.0037450952132476,0.9291965706292711
CACNG3,TRIM49,Modified7,0.3074659217922446,0.35002351461227044,0.42956289512215673
CATSPER4,DRGX,Modified7,0.5912485558362979,0.38916436294031703,0.2867416361150856
CCDC172,DMRTB1,Modified7,0.07432295048191134,-0.28301441131330096,-0.15993452892305027
CCL1,CSN3,Modified7,0.39032306618962065,0.33079451625892814,0.42816551643621187
CCNK,INTERGENIC,Modified7,-1.3621306065270955,-1.0495126276494058,-1.2096176924618243
CCT3,NONTARGETING,Modified7,-2.958469840962323,-2.291255876777088,-2.2233796748659933
CCT4,NONTARGETING,Modified7,-1.8507880947317181,-2.1120613467213785,-2.1219609561347794
CCT6A,NONTARGETING,Modified7,-0.8477603497225752,-1.2342059377109056,-1.3740010592663618
CCT7,NONTARGETING,Modified7,-2.25722800001864,-1.8625702767278165,-1.353711602134667
CCT8,INTERGENIC,Modified7,-1.4611552699761765,-1.5011436597309575,-1.6065951780583103
CDC40,NONTARGETING,Modified7,-0.42202227554886096,-0.6837736629173216,-0.4929978702017287
CDC5L,NONTARGETING,Modified7,-1.7552367136373337,-2.2404197703230246,-2.3799324488791287
CDCP2,BSND,Modified7,0.521287316959886,0.6339855953198433,0.5440235764861998
CHMP2A,NONTARGETING,Modified7,0.5229545885260234,0.5355998630901835,0.5816210619319928
COPA,NONTARGETING,Modified7,-2.5197957687123393,-2.6748267940467105,-2.7582044628561366
COPB1,NONTARGETING,Modified7,-2.5908344457311534,-2.6623324259719157,-2.590609732326432
COPB2,NONTARGETING,Modified7,-2.5458827263497446,-1.9999610857210954,-1.8740821686135816
COPE,NONTARGETING,Modified7,-1.4275729593851474,-1.286002634737795,-1.044645003251029
COPS4,INTERGENIC,Modified7,-1.2055433928597248,-1.2361699845887388,-0.9885460490793094
COPS6,NONTARGETING,Modified7,-1.1648094594432945,-1.1721598445943022,-1.0734615899763882
COPS8,NONTARGETING,Modified7,-0.7943655163779193,-0.8664085070351627,-1.1232250314273404
COPZ1,INTERGENIC,Modified7,-1.5986284510606166,-1.295147435251229,-1.4414708249249257
COX10,NONTARGETING,Modified7,0.18533005549209827,0.2878847960691393,0.30528934842831457
CPSF2,NONTARGETING,Modified7,-1.7902033014568834,-1.6367833051704765,-2.0115607577233763
CPSF3,NONTARGETING,Modified7,-1.940469936527908,-1.7113648304166187,-1.9048593158550626
CSE1L,NONTARGETING,Modified7,-1.6551770407339532,-1.4325020084031577,-1.3785972863425378
CSH1,FRMD7,Modified7,-0.08705900028421645,-0.016492909736296746,-0.05036058144294164
CSHL1,KRTAP10-9,Modified7,0.298225965974145,0.5009622610466486,0.1114780244927952
CSN2,BIRC8,Modified7,0.5614879995883203,0.3240663044645633,0.4044328023955075
CSN3,CCL1,Modified7,0.7538040907200729,0.8310766772200526,0.7204624072829086
CST4,INSL5,Modified7,0.7061790155633763,0.8239857293407213,0.8368622740939176
CSTL1,NANOGNB,Modified7,0.3354242747035456,0.0980579372915179,0.22866553529686395
DAZL,TMEM225,Modified7,0.9580598785087013,0.9256756654189056,0.871824568111643
DCAF8L1,WFDC9,Modified7,0.8911087908202132,0.8221503656551028,0.6376657434778896
DDB1,NONTARGETING,Modified7,0.6876197935892313,-0.648191840635465,-0.605799066534574
DDX18,NONTARGETING,Modified7,-1.4493341449058563,-1.4014263382881553,-1.8575938338914961
DDX21,INTERGENIC,Modified7,-1.4662015383183624,-1.3269934333482523,-1.1690029813684804
DDX4,EGR4,Modified7,0.10556819729596452,-0.017287632272271033,-0.10855150062722435
DDX46,INTERGENIC,Modified7,-0.841230461414009,-0.9819287006909546,-1.648488741819486
DDX54,INTERGENIC,Modified7,-1.245032765516945,-1.7343655660234496,-2.021755009108916
DEFB104A,KRTAP9-2,Modified7,0.3142857207804697,0.6936787878056904,0.7537240692959506
DEFB123,ANKRD30A,Modified7,0.6051431038059212,0.7367172592744702,0.7642369474587039
DEFB129,TRIM48,Modified7,0.28422458470704753,0.5898213695097926,0.48111856194913416
DKC1,NONTARGETING,Modified7,-0.3627148756880451,-0.208396995314737,-0.2888756104531708
DMRTB1,CCDC172,Modified7,0.7729303459421644,0.8447440274062372,0.8891322541668624
DMRTC2,TRIM43,Modified7,0.5926073857133354,0.6276416285571275,0.7801133453994022
DRGX,CATSPER4,Modified7,0.30071125536626014,0.21649810442577205,0.3592085250753259
