Sample,type,value
PILOT_500X_D14_R3,OEM1_exact,1.6754592812714302
PILOT_500X_D14_R3,OEM1_mismatch,1.7626334933448828
PILOT_500X_D14_R3,OEM2_exact,0.17675461286428695
PILOT_500X_D14_R3,OEM2_mismatch,0.17675461286428695
PILOT_500X_D14_R3,sgrna_match,75.74005341738953
PILOT_500X_D14_R3,sgrna_match_mismatch1,84.21053950761357
PILOT_500X_D14_R3,sgrna_inconsistent,12.146791547861099
PILOT_500X_D14_R3,swap,22.668252746062873
PILOT_500X_D14_R3,swap_mismatch1,25.36859803414382
PILOT_500X_D14_R3,scaffold_exist,73.51352679090621
PILOT_500X_D14_R3,scaffold_exist_mismatch1,84.57963883107352
PILOT_500X_D14_R3,scaffold_WT,46.89802171184286
PILOT_500X_D14_R3,scaffold_MT6,12.492230015600123
PILOT_500X_D14_R3,scaffold_MT7,14.123275063463229
PILOT_500X_D14_R3,scaffold_WT_mismatch3,53.55900375766471
PILOT_500X_D14_R3,scaffold_MT6_mismatch3,14.390462268955753
PILOT_500X_D14_R3,scaffold_MT7_mismatch3,16.630172804453053
PILOT_500X_D14_R3,swap_WT,10.9033433992228
PILOT_500X_D14_R3,swap_MT6,3.548226037368111
PILOT_500X_D14_R3,swap_MT7,4.359312150851991
PILOT_500X_D14_R3,swap_WT_mismatch,13.96241132191998
PILOT_500X_D14_R3,swap_MT6_mismatch,4.592311424985061
PILOT_500X_D14_R3,swap_MT7_mismatch,5.892555653139875
PILOT_500X_D3,total_reads,1945181.0
PILOT_500X_D3,sgrna1_exists,92.38209709019365
PILOT_500X_D3,sgrna2_exists,76.98178215806138
PILOT_500X_D3,sgrna1_exists_mismatch1,96.01075683959488
PILOT_500X_D3,sgrna2_exists_mismatch1,83.67252199152675
PILOT_500X_D3,OEM1_exact,1.5307058828972728
PILOT_500X_D3,OEM1_mismatch,1.6239619860568246
PILOT_500X_D3,OEM2_exact,0.14512788270089005
PILOT_500X_D3,OEM2_mismatch,0.14512788270089005
PILOT_500X_D3,sgrna_match,73.98740785561859
PILOT_500X_D3,sgrna_match_mismatch1,83.17380233510403
PILOT_500X_D3,sgrna_inconsistent,12.381932581081143
PILOT_500X_D3,swap,21.478875230634063
PILOT_500X_D3,swap_mismatch1,24.35968683634068
PILOT_500X_D3,scaffold_exist,72.51032166158316
PILOT_500X_D3,scaffold_exist_mismatch1,83.40946163878837
PILOT_500X_D3,scaffold_WT,42.87919736004002
PILOT_500X_D3,scaffold_MT6,14.010007294950958
PILOT_500X_D3,scaffold_MT7,15.62111700659219
PILOT_500X_D3,scaffold_WT_mismatch3,49.02885644060887
PILOT_500X_D3,scaffold_MT6_mismatch3,16.10287166078632
PILOT_500X_D3,scaffold_MT7_mismatch3,18.27773353739318
PILOT_500X_D3,swap_WT,10.003901950512574
PILOT_500X_D3,swap_MT6,3.5424466926214064
PILOT_500X_D3,swap_MT7,4.379026938881267
PILOT_500X_D3,swap_WT_mismatch,12.948820701004173
PILOT_500X_D3,swap_MT6_mismatch,4.640904882373413
PILOT_500X_D3,swap_MT7_mismatch,5.923047778073094
PILOT_100X_D14_R1,total_reads,1465644.0
PILOT_100X_D14_R1,sgrna1_exists,90.12734333849147
PILOT_100X_D14_R1,sgrna2_exists,73.49376792727293
PILOT_100X_D14_R1,sgrna1_exists_mismatch1,94.3626146594944
PILOT_100X_D14_R1,sgrna2_exists_mismatch1,79.03556388863872
PILOT_100X_D14_R1,OEM1_exact,1.8218612432487018
PILOT_100X_D14_R1,OEM1_mismatch,1.9321199418139738
PILOT_100X_D14_R1,OEM2_exact,0.13079574576090783
PILOT_100X_D14_R1,OEM2_mismatch,0.13079574576090783
PILOT_100X_D14_R1,sgrna_match,69.96637655528902
PILOT_100X_D14_R1,sgrna_match_mismatch1,78.40751232905126
PILOT_100X_D14_R1,sgrna_inconsistent,15.558757788385174
PILOT_100X_D14_R1,swap,21.104101678170142
PILOT_100X_D14_R1,swap_mismatch1,23.814377843459937
PILOT_100X_D14_R1,scaffold_exist,66.70139542753903
PILOT_100X_D14_R1,scaffold_exist_mismatch1,78.76182756522047
PILOT_100X_D14_R1,scaffold_WT,42.50841268411701
PILOT_100X_D14_R1,scaffold_MT6,11.326420331267348
PILOT_100X_D14_R1,scaffold_MT7,12.866562412154655
PILOT_100X_D14_R1,scaffold_WT_mismatch3,49.83433903458139
PILOT_100X_D14_R1,scaffold_MT6_mismatch3,13.3879714309887
PILOT_100X_D14_R1,scaffold_MT7_mismatch3,15.539517099650393
PILOT_100X_D14_R1,swap_WT,9.873680102398673
PILOT_100X_D14_R1,swap_MT6,3.189860566413126
PILOT_100X_D14_R1,swap_MT7,3.99612729967168
PILOT_100X_D14_R1,swap_WT_mismatch,13.076163106456956
PILOT_100X_D14_R1,swap_MT6_mismatch,4.256831809088701
PILOT_100X_D14_R1,swap_MT7_mismatch,5.533744893029959
PILOT_100X_D14_R2,total_reads,1404548.0
PILOT_100X_D14_R2,sgrna1_exists,91.83388534959289
PILOT_100X_D14_R2,sgrna2_exists,73.81492124156668
PILOT_100X_D14_R2,sgrna1_exists_mismatch1,96.07617539592809
PILOT_100X_D14_R2,sgrna2_exists_mismatch1,80.94369149363354
PILOT_100X_D14_R2,OEM1_exact,1.9409091038540514
PILOT_100X_D14_R2,OEM1_mismatch,2.064507585358421
PILOT_100X_D14_R2,OEM2_exact,0.13192856349516002
PILOT_100X_D14_R2,OEM2_mismatch,0.13192856349516002
PILOT_100X_D14_R2,sgrna_match,70.3298142890097
PILOT_100X_D14_R2,sgrna_match_mismatch1,80.30782856833657
PILOT_100X_D14_R2,sgrna_inconsistent,15.160037250417929
PILOT_100X_D14_R2,swap,21.115761084704832
PILOT_100X_D14_R2,swap_mismatch1,24.2928685954485
PILOT_100X_D14_R2,scaffold_exist,68.34383730566702
PILOT_100X_D14_R2,scaffold_exist_mismatch1,80.81461082141728
PILOT_100X_D14_R2,scaffold_WT,43.72225085935119
PILOT_100X_D14_R2,scaffold_MT6,11.64331870466513
PILOT_100X_D14_R2,scaffold_MT7,12.978267741650695
PILOT_100X_D14_R2,scaffold_WT_mismatch3,51.30056074979281
PILOT_100X_D14_R2,scaffold_MT6_mismatch3,13.815974961339874
PILOT_100X_D14_R2,scaffold_MT7_mismatch3,15.69807511028459
PILOT_100X_D14_R2,swap_WT,9.854273403258556
PILOT_100X_D14_R2,swap_MT6,3.273651025098466
PILOT_100X_D14_R2,swap_MT7,3.9261029170950366
PILOT_100X_D14_R2,swap_WT_mismatch,13.355470941541336
PILOT_100X_D14_R2,swap_MT6_mismatch,4.471545294286845
PILOT_100X_D14_R2,swap_MT7_mismatch,5.569122593175883
PILOT_100X_D14_R3,total_reads,1609099.0
PILOT_100X_D14_R3,sgrna1_exists,91.68801919583568
PILOT_100X_D14_R3,sgrna2_exists,76.55364896752779
PILOT_100X_D14_R3,sgrna1_exists_mismatch1,96.0952060749525
PILOT_100X_D14_R3,sgrna2_exists_mismatch1,82.24826440138239
PILOT_100X_D14_R3,OEM1_exact,1.7467539287514318
PILOT_100X_D14_R3,OEM1_mismatch,1.8492957860268384
PILOT_100X_D14_R3,OEM2_exact,0.13883546009288428
PILOT_100X_D14_R3,OEM2_mismatch,0.13883546009288428
PILOT_100X_D14_R3,sgrna_match,72.742572085372
PILOT_100X_D14_R3,sgrna_match_mismatch1,81.60765745302184
PILOT_100X_D14_R3,sgrna_inconsistent,14.061160935405468
PILOT_100X_D14_R3,swap,21.844895808151023
PILOT_100X_D14_R3,swap_mismatch1,24.674181016829916
PILOT_100X_D14_R3,scaffold_exist,68.84678941444871
PILOT_100X_D14_R3,scaffold_exist_mismatch1,81.96033929546907
PILOT_100X_D14_R3,scaffold_WT,43.94894285559807
PILOT_100X_D14_R3,scaffold_MT6,11.769816524651374
PILOT_100X_D14_R3,scaffold_MT7,13.128030034199261
PILOT_100X_D14_R3,scaffold_WT_mismatch3,51.979026772125266
PILOT_100X_D14_R3,scaffold_MT6_mismatch3,14.011319378111601
PILOT_100X_D14_R3,scaffold_MT7_mismatch3,15.969993145232209
PILOT_100X_D14_R3,swap_WT,10.260648971878052
PILOT_100X_D14_R3,swap_MT6,3.2642491232671205
PILOT_100X_D14_R3,swap_MT7,3.9965222773738596
PILOT_100X_D14_R3,swap_WT_mismatch,13.68051313188312
PILOT_100X_D14_R3,swap_MT6_mismatch,4.428130276633072
PILOT_100X_D14_R3,swap_MT7_mismatch,5.633587492130689
PILOT_100X_D3,total_reads,1292590.0
PILOT_100X_D3,sgrna1_exists,91.06104797344867
PILOT_100X_D3,sgrna2_exists,75.91974253243488
PILOT_100X_D3,sgrna1_exists_mismatch1,94.84337647668634
PILOT_100X_D3,sgrna2_exists_mismatch1,81.89325308102337
PILOT_100X_D3,OEM1_exact,1.4467077727663065
PILOT_100X_D3,OEM1_mismatch,1.534980156120657
PILOT_100X_D3,OEM2_exact,0.1117136911162859
PILOT_100X_D3,OEM2_mismatch,0.1117136911162859
PILOT_100X_D3,sgrna_match,72.67138071623638
PILOT_100X_D3,sgrna_match_mismatch1,81.2934495857155
PILOT_100X_D3,sgrna_inconsistent,13.20233020524683
PILOT_100X_D3,swap,21.134853279075344
PILOT_100X_D3,swap_mismatch1,23.821242621403538
PILOT_100X_D3,scaffold_exist,69.85563867893146
PILOT_100X_D3,scaffold_exist_mismatch1,81.45158170804353
PILOT_100X_D3,scaffold_WT,41.47270209424489
PILOT_100X_D3,scaffold_MT6,13.450204627917591
PILOT_100X_D3,scaffold_MT7,14.932731956768968
PILOT_100X_D3,scaffold_WT_mismatch3,48.039440193719585
PILOT_100X_D3,scaffold_MT6_mismatch3,15.709389674993618
PILOT_100X_D3,scaffold_MT7_mismatch3,17.702751839330336
PILOT_100X_D3,swap_WT,9.702844676192761
PILOT_100X_D3,swap_MT6,3.4373621952823403
PILOT_100X_D3,swap_MT7,4.192976891357661
PILOT_100X_D3,swap_WT_mismatch,12.664263223450591
PILOT_100X_D3,swap_MT6_mismatch,4.5534160097169245
PILOT_100X_D3,swap_MT7_mismatch,5.750779442824097
PILOT_PCR500X_D14_R1,total_reads,1438452.0
PILOT_PCR500X_D14_R1,sgrna1_exists,91.66444205298474
PILOT_PCR500X_D14_R1,sgrna2_exists,76.62765250421981
PILOT_PCR500X_D14_R1,sgrna1_exists_mismatch1,95.56064435935298
PILOT_PCR500X_D14_R1,sgrna2_exists_mismatch1,81.83526457608596
PILOT_PCR500X_D14_R1,OEM1_exact,1.8528251203376964
PILOT_PCR500X_D14_R1,OEM1_mismatch,1.955574464771852
PILOT_PCR500X_D14_R1,OEM2_exact,0.1327121099626543
PILOT_PCR500X_D14_R1,OEM2_mismatch,0.1327121099626543
PILOT_PCR500X_D14_R1,sgrna_match,73.358304621913
PILOT_PCR500X_D14_R1,sgrna_match_mismatch1,81.40939009435144
PILOT_PCR500X_D14_R1,sgrna_inconsistent,13.725588340799694
PILOT_PCR500X_D14_R1,swap,21.757834116119273
PILOT_PCR500X_D14_R1,swap_mismatch1,24.325594458487316
PILOT_PCR500X_D14_R1,scaffold_exist,70.36557354711871
PILOT_PCR500X_D14_R1,scaffold_exist_mismatch1,81.87739319768751
PILOT_PCR500X_D14_R1,scaffold_WT,45.022148809970716
PILOT_PCR500X_D14_R1,scaffold_MT6,12.02473214260886
PILOT_PCR500X_D14_R1,scaffold_MT7,13.318692594539131
PILOT_PCR500X_D14_R1,scaffold_WT_mismatch3,51.992767224766624
PILOT_PCR500X_D14_R1,scaffold_MT6_mismatch3,14.05795952871559
PILOT_PCR500X_D14_R1,scaffold_MT7_mismatch3,15.826666444205298
PILOT_PCR500X_D14_R1,swap_WT,10.402919249304112
PILOT_PCR500X_D14_R1,swap_MT6,3.373904725357537
PILOT_PCR500X_D14_R1,swap_MT7,4.099059266489253
PILOT_PCR500X_D14_R1,swap_WT_mismatch,13.456410085286127
PILOT_PCR500X_D14_R1,swap_MT6_mismatch,4.409531913473651
PILOT_PCR500X_D14_R1,swap_MT7_mismatch,5.560699974695019
PILOT_PCR500X_D14_R2,total_reads,1631857.0
PILOT_PCR500X_D14_R2,sgrna1_exists,93.24395458670705
PILOT_PCR500X_D14_R2,sgrna2_exists,79.80258074083697
PILOT_PCR500X_D14_R2,sgrna1_exists_mismatch1,97.27016521668259
PILOT_PCR500X_D14_R2,sgrna2_exists_mismatch1,85.2467464980081
PILOT_PCR500X_D14_R2,OEM1_exact,1.664606641390759
PILOT_PCR500X_D14_R2,OEM1_mismatch,1.7478859973637395
PILOT_PCR500X_D14_R2,OEM2_exact,0.12985206424337428
PILOT_PCR500X_D14_R2,OEM2_mismatch,0.12985206424337428
PILOT_PCR500X_D14_R2,sgrna_match,76.2971878050589
