Gene1,Gene2,Scaffold,PILOT_100X_D14,PILOT_500X_D14,PILOT_PCR500X_D14
PSMB3,INTERGENIC,Modified6,-3.5698067904094737,-3.4092864780366954,-3.4012753264942717
PSMB5,NONTARGETING,Modified6,-3.396086190372295,-3.25786365925768,-3.545465724852893
PSMB6,NONTARGETING,Modified6,-2.672731646912874,-2.665403941451083,-2.3551950184814157
PSMC1,NONTARGETING,Modified6,-2.4102009850669273,-2.425609643186898,-3.050700686771104
PSMC2,INTERGENIC,Modified6,-1.7734126240580483,-1.928548459893321,-2.3515063241263676
PSMC3,NONTARGETING,Modified6,-1.7235798240568854,-1.6920461814401206,-1.9271918296272843
PSMC4,NONTARGETING,Modified6,-2.080042251201002,-1.7877806429022898,-2.287225973104811
PSMD1,NONTARGETING,Modified6,-1.6074920939653992,-1.7023202071412076,-1.776032994032011
PSMD12,NONTARGETING,Modified6,-0.8186243163276519,-0.8855040801151725,-1.405607382746065
PSMD13,NONTARGETING,Modified6,-0.8901158649122091,-0.811865588309205,-1.0083078609491094
PSMD2,NONTARGETING,Modified6,-2.5277304362315074,-2.190178284573002,-3.077370405564724
PSMD4,NONTARGETING,Modified6,-1.8679137714286358,-2.050505539717578,-1.4786834760737917
PSMD7,NONTARGETING,Modified6,-3.052859519027728,-2.416441667248872,-2.840708359911183
RAN,NONTARGETING,Modified6,-5.224526154600877,-5.1844838590400615,-4.334571819843022
RBM14,NONTARGETING,Modified6,-1.471729676352452,-1.755401191609617,-2.083335365415659
RBM17,NONTARGETING,Modified6,-0.9307523854097297,-1.1317481577870785,-1.10094426498669
RBM22,NONTARGETING,Modified6,-1.215258058798979,-1.714206298079151,-1.6227735298772705
RBM25,NONTARGETING,Modified6,-2.234065374156357,-2.454524646966351,-2.3232464752926925
RBMX,INTERGENIC,Modified6,-2.6065295901402186,-2.61344817344215,-2.480383837846437
RBPJL,IFNA16,Modified6,0.8050355627186792,0.8555865310422219,0.7584304390717549
RFX6,MRGPRX1,Modified6,0.3947450778013244,0.37078950041171943,0.30995286298869845
RHOXF2,PAX1,Modified6,0.089032583527661,-0.10644911807689121,0.37224072487703397
RNASE12,FEZF1,Modified6,-0.29487190688342835,-0.1766744890951465,-0.4749171486629396
RPA1,NONTARGETING,Modified6,-2.1665900649748515,-2.334112337604267,-2.3148449885424505
RPA2,NONTARGETING,Modified6,-3.1563913667292702,-2.5763890671030856,-2.5602318088735516
RPE65,PANX3,Modified6,-0.04304304126059191,0.24129399718530786,0.2041371378729449
RPL10A,NONTARGETING,Modified6,-3.797193092254546,-3.365109847899955,-3.7865339388054786
RPL11,NONTARGETING,Modified6,-1.897745544328636,-2.286029252287265,-2.404462122978182
RPL12,NONTARGETING,Modified6,-2.4317079184345047,-1.9516793823553429,-2.1473372977410325
RPL13,NONTARGETING,Modified6,-2.6139572764334758,-2.750015548649543,-2.896482502463417
RPL13A,NONTARGETING,Modified6,-4.613194089521841,-3.7622293289115447,-4.911381752269402
RPL14,NONTARGETING,Modified6,-2.633504775625806,-2.643111688526847,-3.080649970686935
RPL18,NONTARGETING,Modified6,-2.194833520756939,-1.7521051351291659,-1.5644874110914393
RPL18A,NONTARGETING,Modified6,-3.1074720841291317,-2.820524451590785,-2.8966021310274273
RPL19,NONTARGETING,Modified6,-2.6657653535151082,-2.690095642593338,-3.1398017865825887
RPL23A,NONTARGETING,Modified6,-2.762844462465697,-2.781155875292302,-3.5319567307564412
RPL24,INTERGENIC,Modified6,-1.6415762066597117,-1.1232686298869952,-1.2817338259679756
RPL26,NONTARGETING,Modified6,-1.6945399139770623,-1.7217199597019461,-2.2760207555570187
RPL27,NONTARGETING,Modified6,-2.768650645377363,-2.078401054468079,-3.1745244112178392
RPL3,NONTARGETING,Modified6,-2.64048488872594,-2.960260147955699,-3.2520600457771507
RPL30,NONTARGETING,Modified6,-3.439801232880807,-3.2562539084174444,-3.1611714835539724
RPL31,NONTARGETING,Modified6,-2.9011723274342742,-2.825967912981273,-3.4031368692437294
