	VectorID1
SWAP	351506
SCAFFOLD_MISMATCH	1854
DG0007039	575
DG0003642	558
DG0006973	490
DG0003161	479
DG0006322	472
DG0005134	466
DG0008650	454
DG0008651	451
DG0006651	443
DG0007094	440
DG0007122	426
DG0006994	423
DG0005209	416
DG0005194	408
DG0008706	405
DG0002513	398
DG0005679	394
DG0000023	392
DG0007087	387
DG0002035	382
DG0001196	381
DG0008697	379
DG0007035	379
DG0005026	377
DG0007086	377
DG0008686	376
DG0007095	375
DG0007107	374
DG0003478	370
DG0003182	368
DG0008561	366
DG0000453	364
DG0008538	364
DG0007093	363
DG0000029	362
DG0004424	357
DG0008797	356
DG0004981	356
DG0008660	355
DG0000597	354
DG0008653	353
DG0000030	350
DG0008545	350
DG0006688	348
DG0008620	348
DG0007092	347
DG0005075	344
DG0007607	344
DG0008691	342
DG0001373	342
DG0002832	340
DG0001159	339
DG0008699	338
DG0006849	337
DG0002741	336
DG0007000	336
DG0005069	336
DG0008887	336
DG0005504	335
DG0007022	334
DG0007143	333
DG0008306	332
DG0003181	332
DG0007115	331
DG0008898	331
DG0007082	330
DG0008711	330
DG0000589	329
DG0008782	326
DG0008303	325
DG0007934	324
DG0007706	323
DG0007072	323
DG0008640	322
DG0006926	321
DG0001790	320
DG0008614	319
DG0007145	317
DG0008621	316
DG0003784	316
DG0008878	316
DG0003615	315
DG0008688	315
DG0000598	313
DG0008720	313
DG0008646	312
DG0005103	312
DG0006512	312
DG0005428	311
DG0002843	309
DG0008647	309
DG0007220	308
DG0007302	308
DG0008560	307
DG0001443	306
DG0006924	305
DG0002039	304
DG0006989	304
DG0008661	303
DG0008477	303
DG0007001	303
DG0000936	303
DG0008705	302
DG0006869	302
DG0004891	302
DG0008851	301
DG0001711	301
DG0002495	301
DG0004796	300
DG0001947	300
DG0001188	300
DG0008569	300
DG0007048	299
DG0001431	299
DG0008758	299
DG0007064	298
DG0008298	298
DG0007061	298
DG0007203	298
DG0006966	297
DG0008565	297
DG0007011	296
DG0002054	296
DG0007079	296
DG0007077	296
DG0004614	295
DG0008854	295
DG0007100	295
DG0008896	294
DG0002002	294
DG0007210	294
DG0006790	294
DG0000535	293
DG0007032	293
DG0003641	293
DG0008717	291
DG0007059	290
DG0006919	289
DG0002347	289
DG0008904	289
DG0000059	289
DG0005228	289
DG0000809	289
DG0006949	288
DG0003201	288
DG0002055	288
DG0008450	288
DG0000519	288
DG0006865	288
DG0007038	288
DG0002973	287
DG0001116	287
DG0003900	287
DG0005184	287
DG0008719	286
DG0008619	286
DG0007074	286
DG0000797	285
DG0007098	285
DG0003613	285
DG0000845	285
DG0001547	284
DG0006955	284
DG0004893	284
DG0007099	283
DG0005596	282
DG0008644	282
DG0002036	281
DG0001525	281
DG0008784	281
DG0002905	281
DG0005403	280
DG0000252	280
DG0005282	280
DG0007085	279
DG0008625	279
DG0005049	278
DG0006916	278
DG0008709	277
DG0004854	277
DG0008748	277
DG0005107	277
DG0007409	277
DG0000441	276
DG0008617	275
DG0000189	275
DG0006800	275
DG0005172	274
DG0000013	274
DG0005123	274
DG0001810	274
DG0005122	274
DG0001534	274
DG0008676	274
DG0008499	274
DG0007029	274
DG0008124	273
DG0007008	272
DG0000682	272
DG0008698	272
DG0008817	271
DG0005421	271
DG0008675	271
DG0000455	271
DG0007172	270
DG0001770	269
DG0008872	269
DG0008278	269
DG0008612	268
DG0004998	268
DG0001966	268
DG0000955	268
DG0001903	268
DG0007118	268
DG0007131	268
DG0008568	267
DG0005322	267
DG0008743	266
DG0005394	266
DG0000015	265
DG0000061	265
DG0008485	264
DG0007234	264
DG0007045	264
DG0002041	263
DG0007040	263
DG0005137	263
DG0002018	263
DG0008362	263
DG0005078	263
DG0002286	263
DG0000248	263
DG0007127	262
DG0000789	262
DG0002703	262
DG0000515	262
DG0008796	262
DG0007226	262
DG0005272	262
DG0007262	261
DG0008322	261
DG0008913	261
DG0008605	261
DG0006972	261
DG0004470	261
DG0007041	260
DG0008799	260
DG0008497	260
DG0001919	260
DG0008739	260
DG0007200	260
DG0008674	260
DG0005174	260
DG0008695	259
DG0000053	259
DG0003501	259
DG0006776	259
DG0005509	258
DG0008475	258
DG0008559	258
DG0001834	257
DG0006891	257
DG0008814	257
DG0008491	257
DG0000801	256
DG0002897	256
DG0005661	256
DG0002652	256
DG0008639	256
DG0000181	256
DG0004805	256
DG0003351	255
DG0004784	255
DG0000027	255
DG0000587	255
DG0005188	255
DG0008503	254
DG0005157	254
DG0003671	253
DG0005201	253
DG0008633	253
DG0003792	253
DG0007137	253
DG0005352	253
DG0002715	252
DG0008764	252
DG0001523	252
DG0006750	252
DG0002027	252
DG0005150	252
DG0008602	251
DG0006783	251
DG0001515	251
DG0001784	251
DG0001374	250
DG0006996	250
DG0008401	250
DG0008754	250
DG0007126	250
DG0006299	250
DG0000081	249
DG0008421	249
DG0005643	249
DG0008862	248
DG0000451	248
DG0005243	248
DG0000373	248
DG0000693	248
DG0006964	248
DG0001792	247
DG0007031	247
DG0006875	247
DG0001786	247
DG0006961	247
DG0008332	247
DG0000841	247
DG0003799	247
DG0005535	247
DG0005166	247
DG0003183	247
DG0003500	246
DG0008527	246
DG0000173	246
DG0005557	246
DG0005223	246
DG0003186	246
DG0007231	246
DG0005401	246
DG0007235	245
DG0002955	245
DG0003066	245
DG0008757	245
DG0004874	245
DG0005631	245
DG0000999	245
DG0005195	244
DG0003409	244
DG0007028	244
DG0008732	244
DG0002808	243
DG0002475	243
DG0000527	243
DG0008666	243
DG0008830	243
DG0001063	243
DG0001153	243
DG0007180	243
DG0005337	242
DG0008487	242
DG0001379	241
DG0000837	241
DG0007301	241
DG0008588	241
DG0000704	241
DG0005446	240
DG0000443	240
DG0008822	240
DG0005464	240
DG0006879	240
DG0002439	240
DG0000057	239
DG0006950	239
DG0006749	239
DG0005328	239
DG0004987	239
DG0005111	239
DG0000773	239
DG0002356	238
DG0001915	238
DG0000063	238
DG0001791	238
DG0000454	238
DG0007500	238
DG0001599	238
DG0003012	237
DG0005577	237
DG0005334	237
DG0006775	237
DG0002215	237
DG0005650	237
DG0008679	236
DG0000456	236
DG0003190	236
DG0002704	236
DG0003021	236
DG0003388	236
