	VectorID1
SWAP	312976
SCAFFOLD_MISMATCH	1539
DG0007039	501
DG0008640	467
DG0008651	454
DG0005134	434
DG0007220	430
DG0003642	418
DG0006994	418
DG0008647	415
DG0007035	400
DG0007085	392
DG0006973	391
DG0008712	386
DG0005069	383
DG0008748	381
DG0008782	380
DG0004796	378
DG0007094	375
DG0008706	373
DG0008878	370
DG0007061	370
DG0008475	367
DG0007302	365
DG0004658	365
DG0007122	362
DG0006924	361
DG0005194	361
DG0003161	361
DG0008568	356
DG0008646	351
DG0000597	351
DG0003181	351
DG0003478	349
DG0008686	346
DG0005209	346
DG0008561	345
DG0008650	345
DG0008705	343
DG0008725	343
DG0007203	340
DG0000030	339
DG0008697	335
DG0005470	333
DG0008491	331
DG0007077	331
DG0007099	331
DG0000018	329
DG0006322	328
DG0003641	324
DG0008617	324
DG0002843	322
DG0003182	321
DG0006688	319
DG0005228	318
DG0007022	318
DG0007048	317
DG0008569	316
DG0005643	315
DG0008306	315
DG0006512	315
DG0008757	314
DG0005174	313
DG0005352	313
DG0006972	309
DG0008469	308
DG0001534	307
DG0005394	306
DG0000694	306
DG0000015	305
DG0002039	304
DG0006750	304
DG0007143	304
DG0008497	304
DG0007092	303
DG0007072	302
DG0007137	302
DG0007095	302
DG0007079	302
DG0007059	301
DG0002055	300
DG0007086	300
DG0002439	299
DG0005534	299
DG0008577	298
DG0000437	298
DG0008851	298
DG0007706	298
DG0000031	297
DG0006908	294
DG0008711	294
DG0008854	293
DG0000434	292
DG0005026	291
DG0006651	291
DG0006776	291
DG0008625	289
DG0000535	288
DG0000035	288
DG0008717	287
DG0001515	285
DG0007118	285
DG0007234	284
DG0007093	284
DG0005070	284
DG0008401	284
DG0000589	283
DG0006849	282
DG0001373	282
DG0008450	281
DG0005282	281
DG0005137	281
DG0000728	281
DG0000809	280
DG0002053	280
DG0000029	280
DG0006744	279
DG0008887	278
DG0008370	278
DG0004424	277
DG0006300	277
DG0007301	277
DG0000059	277
DG0008641	277
DG0007074	276
DG0005509	276
DG0005166	275
DG0001711	274
DG0008666	274
DG0000005	273
DG0008679	273
DG0008739	272
DG0000173	271
DG0000618	271
DG0008720	270
DG0001525	270
DG0003784	270
DG0005103	270
DG0001778	270
DG0003351	269
DG0001917	268
DG0008732	267
DG0005123	267
DG0000023	267
DG0006748	267
DG0005062	266
DG0008754	266
DG0005313	266
DG0005551	266
DG0005080	266
DG0000833	266
DG0007180	266
DG0003021	265
DG0007607	265
DG0001517	265
DG0002356	265
DG0005557	264
DG0006949	264
DG0005017	264
DG0007040	264
DG0008485	264
DG0005504	263
DG0004469	263
DG0008620	263
DG0008438	263
DG0007210	263
DG0001790	262
DG0000598	262
DG0002422	261
DG0005058	261
DG0005239	261
DG0002513	260
DG0007002	260
DG0008660	260
DG0008298	260
DG0008538	259
DG0005229	258
DG0006678	258
DG0003791	258
DG0002285	257
DG0001727	256
DG0008893	256
DG0008764	256
DG0001947	256
DG0001547	256
DG0007127	256
DG0008814	256
DG0005464	255
DG0004967	255
DG0004891	255
DG0002041	255
DG0007317	255
DG0008691	254
DG0008675	254
DG0002741	253
DG0003588	252
DG0000804	252
DG0001196	251
DG0002955	251
DG0000791	251
DG0002495	251
DG0003502	251
DG0007009	251
DG0008723	251
DG0007145	250
DG0006775	250
DG0005403	250
DG0007087	250
DG0006966	250
DG0000845	249
DG0006975	249
DG0008898	249
DG0001200	249
DG0008527	249
DG0000053	249
DG0001408	248
DG0002808	248
DG0005297	248
DG0001523	248
DG0000617	248
DG0007008	248
DG0003615	248
DG0001098	247
DG0007115	247
DG0005422	246
DG0007001	246
DG0005661	246
DG0007754	246
DG0005625	246
DG0003067	245
DG0002587	245
DG0007126	245
DG0005649	245
DG0007098	245
DG0000967	244
DG0004981	244
DG0000256	244
DG0008612	243
DG0008745	243
DG0000009	243
DG0001144	243
DG0004860	242
DG0003634	242
DG0000063	242
DG0005072	242
DG0005305	242
DG0006926	241
DG0000577	241
DG0007028	241
DG0008696	241
DG0002986	241
DG0001715	240
DG0008822	239
DG0001519	239
DG0007000	239
DG0002897	239
DG0005050	238
DG0008560	238
DG0008784	238
DG0000515	238
DG0001473	238
DG0004805	237
DG0000453	237
DG0008487	237
DG0001719	237
DG0003900	236
DG0000189	236
DG0007226	236
DG0008702	236
DG0007064	236
DG0008867	236
DG0005684	236
DG0006782	235
DG0005195	234
DG0008684	234
DG0007032	234
DG0008362	234
DG0008698	234
DG0001815	234
DG0007131	233
DG0008608	233
DG0005169	233
DG0003792	232
