	VectorID1
SWAP	397032
SCAFFOLD_MISMATCH	2448
DG0007039	624
DG0003642	616
DG0006973	539
DG0006322	532
DG0003161	522
DG0005134	505
DG0008651	496
DG0008650	496
DG0006651	476
DG0007094	467
DG0006994	458
DG0007122	456
DG0005194	448
DG0005209	447
DG0008706	437
DG0005679	436
DG0007095	434
DG0007086	433
DG0005026	433
DG0000023	429
DG0002513	428
DG0008697	428
DG0001196	427
DG0002035	419
DG0007035	416
DG0007107	414
DG0007087	411
DG0008538	408
DG0000453	407
DG0004981	406
DG0008545	404
DG0003478	402
DG0008686	400
DG0007607	397
DG0000030	394
DG0003182	394
DG0008561	393
DG0000597	392
DG0004424	390
DG0008797	388
DG0008887	388
DG0000029	387
DG0007092	387
DG0008653	386
DG0002741	386
DG0007934	383
DG0007000	381
DG0005075	381
DG0001373	381
DG0007093	381
DG0008782	380
DG0008660	379
DG0008691	379
DG0008306	375
DG0006688	374
DG0000589	372
DG0003181	370
DG0001159	370
DG0008620	370
DG0005069	369
DG0008303	369
DG0005504	368
DG0008640	365
DG0006849	365
DG0007082	362
DG0008699	360
DG0007143	360
DG0002832	360
DG0008878	360
DG0007022	360
DG0008898	359
DG0008711	358
DG0006512	356
DG0007115	353
DG0008614	352
DG0006926	351
DG0005103	350
DG0005428	349
DG0007072	349
DG0007706	349
DG0001790	349
DG0001711	349
DG0008717	345
DG0003784	345
DG0007145	343
DG0008621	342
DG0008720	342
DG0003615	341
DG0002843	341
DG0001188	341
DG0008688	340
DG0000598	340
DG0008758	340
DG0008646	340
DG0008854	339
DG0005282	339
DG0006924	339
DG0006966	336
DG0008661	336
DG0008896	335
DG0008477	334
DG0007203	334
DG0006869	333
DG0008705	332
DG0008904	332
DG0008569	331
DG0002495	331
DG0007061	330
DG0007064	330
DG0002002	330
DG0008560	329
DG0008784	328
DG0008298	328
DG0004796	328
DG0007220	328
DG0004891	328
DG0000936	328
DG0007302	328
DG0000809	328
DG0007011	328
DG0007029	327
DG0008647	327
DG0008450	327
DG0001810	326
DG0006989	326
DG0004893	326
DG0002039	326
DG0007079	326
DG0007210	325
DG0001443	325
DG0003613	325
DG0007001	324
DG0007048	324
DG0008851	323
DG0000189	323
DG0001525	323
DG0000441	323
DG0007032	323
DG0008124	322
DG0006800	321
DG0001947	321
DG0008565	321
DG0000797	320
DG0002973	320
DG0000519	319
DG0006949	318
DG0007099	318
DG0000535	318
DG0001431	318
DG0005228	317
DG0001116	317
DG0008641	317
DG0002054	317
DG0006865	316
DG0004614	316
DG0006955	316
DG0007077	316
DG0006919	316
DG0008709	315
DG0006790	315
DG0001770	314
DG0007100	314
DG0007098	314
DG0000252	313
DG0008499	313
DG0005184	313
DG0007059	313
DG0008748	313
DG0008644	313
DG0008619	312
DG0000845	312
DG0003900	312
DG0005172	312
DG0008278	311
DG0003201	311
DG0000059	311
DG0001547	310
DG0003641	310
DG0002036	310
DG0007074	310
DG0008625	309
DG0007038	309
DG0004854	309
DG0002347	308
DG0000682	308
DG0001534	308
DG0002905	308
DG0005403	306
DG0007008	305
DG0008719	305
DG0008475	305
DG0008676	305
DG0000181	305
DG0008743	305
DG0007118	304
DG0008675	303
DG0002055	303
DG0007409	303
DG0008872	303
DG0005049	303
DG0008799	302
DG0008322	302
DG0007085	301
