	VectorID1
SWAP	506067
SCAFFOLD_MISMATCH	2631
DG0008651	778
DG0008640	683
DG0007039	672
DG0003642	634
DG0006973	633
DG0008782	630
DG0005194	617
DG0006994	611
DG0000030	607
DG0006322	598
DG0008650	588
DG0003161	586
DG0007095	578
DG0007061	566
DG0006924	561
DG0007008	553
DG0005134	551
DG0007035	548
DG0003182	547
DG0008646	545
DG0007072	544
DG0008706	543
DG0007092	540
DG0007094	539
DG0007122	532
DG0003784	531
DG0008686	530
DG0001790	526
DG0007085	519
DG0008675	519
DG0008717	517
DG0000589	516
DG0008887	516
DG0004424	515
DG0008647	514
DG0005075	513
DG0007086	512
DG0007934	511
DG0003478	510
DG0006869	500
DG0007022	500
DG0007079	498
DG0008545	498
DG0002513	494
DG0000059	493
DG0005643	493
DG0008401	485
DG0007145	484
DG0001792	483
DG0002741	476
DG0008538	475
DG0008691	475
DG0008475	473
DG0000809	472
DG0006972	470
DG0005026	470
DG0005209	467
DG0005069	466
DG0007416	464
DG0003613	462
DG0003641	462
DG0008725	459
DG0008560	457
DG0008711	456
DG0008487	454
DG0001534	453
DG0008851	453
DG0008306	452
DG0000453	452
DG0004796	451
DG0008617	451
DG0000597	449
DG0006651	448
DG0007220	448
DG0008732	447
DG0008739	446
DG0008497	445
DG0008100	445
DG0008485	444
DG0008705	444
DG0008569	444
DG0000598	444
DG0008491	444
DG0000999	441
DG0006955	441
DG0007131	441
DG0007059	440
DG0000018	440
DG0008653	437
DG0002652	437
DG0007087	436
DG0008720	436
DG0000029	436
DG0007115	435
DG0005282	435
DG0003021	435
DG0007143	434
DG0000189	434
DG0000023	433
DG0005228	433
DG0008322	432
DG0000437	430
DG0002035	428
DG0005470	426
DG0008697	425
DG0005122	425
DG0007074	424
DG0007000	424
DG0001525	423
DG0004981	422
DG0007180	422
DG0007118	421
DG0004854	421
DG0008644	421
DG0008166	421
DG0003900	421
DG0007607	420
DG0008450	419
DG0008712	418
DG0001547	417
DG0005197	417
DG0005571	417
DG0006957	416
DG0002715	416
DG0007301	415
DG0005123	415
DG0008625	414
DG0006775	414
DG0008656	413
DG0006831	413
DG0001496	413
DG0007048	412
DG0007093	412
DG0007302	411
DG0007107	411
DG0008748	410
DG0008878	410
DG0007203	410
DG0008684	410
DG0002832	410
DG0002356	409
DG0005557	409
DG0006849	408
DG0007082	408
DG0003201	406
DG0005195	406
DG0007064	405
DG0008699	405
DG0003792	404
DG0008298	404
DG0008719	403
DG0004891	402
DG0008674	402
DG0004658	402
DG0008370	402
DG0007011	401
DG0000784	400
DG0007127	400
DG0008469	400
DG0004784	399
DG0008561	399
DG0008898	399
DG0007040	399
DG0008620	397
DG0007126	397
DG0005446	397
DG0002843	397
DG0008641	396
DG0003181	395
DG0000007	395
DG0001196	394
DG0008527	392
DG0008749	392
DG0004805	391
DG0008621	388
DG0000797	387
DG0001373	386
DG0005559	386
DG0005103	385
DG0002495	385
DG0005174	384
DG0006949	384
DG0001533	384
DG0000061	384
DG0005504	384
DG0000027	383
DG0008661	383
DG0001408	383
DG0006875	383
DG0002439	382
DG0007032	382
DG0001523	382
DG0000515	382
DG0008698	381
DG0006996	380
DG0008660	380
DG0005150	380
DG0003614	380
DG0008758	380
DG0006688	379
DG0000057	379
DG0008822	379
DG0002651	378
DG0005403	377
DG0008639	377
DG0005051	377
DG0006954	374
DG0008449	374
DG0005661	374
DG0000618	374
DG0008263	373
DG0004470	373
DG0006790	373
DG0005352	372
DG0000451	372
DG0005166	372
DG0001947	372
DG0008605	371
DG0000694	371
DG0000248	371
DG0005107	370
DG0007098	370
DG0004860	370
DG0008568	370
DG0000047	369
DG0008815	369
DG0006758	369
DG0001515	369
DG0000015	368
DG0005644	368
DG0000005	368
DG0005428	368
DG0005184	368
DG0000181	367
DG0000519	366
DG0008579	366
DG0006776	365
DG0008814	365
DG0008666	365
DG0003671	365
DG0005017	364
DG0008797	364
DG0000145	364
DG0001374	364
DG0006966	364
DG0005096	364
DG0001728	364
DG0000535	364
DG0002039	363
DG0005625	362
DG0006975	362
DG0005305	362
DG0005127	362
DG0008508	362
DG0008619	361
DG0007009	361
DG0002907	361
DG0008499	361
DG0001846	361
DG0006879	361
DG0005509	360
DG0008745	360
DG0000585	360
DG0003022	359
DG0002018	359
DG0000945	359
DG0002055	359
DG0008757	358
DG0006971	357
DG0007001	357
DG0007010	357
DG0000173	356
DG0004967	356
DG0008676	356
DG0005188	356
DG0001786	356
DG0003066	355
DG0000534	355
DG0001406	355
DG0008332	355
DG0008631	354
DG0007754	354
DG0001599	354
DG0006953	354
DG0008896	352
DG0003763	352
DG0002514	352
DG0005577	352
DG0000252	352
DG0004828	351
DG0003175	351
DG0005219	351
DG0007262	351
DG0007215	350
DG0005679	350
DG0008679	350
DG0007210	350
DG0000087	350
DG0005543	349
DG0001334	349
DG0000445	349
DG0008796	348
DG0007200	348
DG0000845	348
DG0005050	348
DG0005223	348
DG0001519	347
DG0002921	347
DG0001920	346
DG0007235	346
DG0005186	346
DG0006989	346
DG0008892	346
DG0007673	346
DG0003466	345
DG0008704	345
DG0000594	344
DG0004998	343
DG0005110	343
DG0008874	343
DG0003500	343
DG0003067	342
DG0005334	342
DG0008396	342
DG0002024	341
DG0008559	341
DG0006695	341
DG0001063	341
DG0003351	340
DG0002347	340
DG0008754	340
DG0004275	340
DG0008555	340
DG0000085	339
DG0007226	339
DG0001398	339
DG0008606	339
DG0008477	339
DG0005200	338
DG0007706	338
DG0000527	338
DG0007409	338
DG0008799	338
DG0001700	338
DG0006950	337
DG0000994	337
DG0000043	337
DG0005464	337
DG0000623	336
DG0006865	336
DG0000801	336
DG0005144	336
DG0008867	336
DG0002284	336
DG0005551	336
DG0008572	336
DG0004793	336
DG0008902	335
DG0002494	335
DG0004614	335
DG0008278	335
DG0008817	335
DG0005151	334
DG0000456	334
DG0008584	334
DG0008629	334
DG0001810	334
DG0008503	333
DG0008387	333
DG0005596	333
DG0000013	333
DG0008664	333
DG0006916	333
DG0005322	333
DG0007045	332
DG0005239	332
DG0007066	331
DG0005091	331
DG0002587	331
DG0002869	331
DG0008753	330
DG0000955	330
DG0005137	330
DG0008688	330
DG0008124	329
DG0008696	329
DG0005876	329
DG0002036	328
DG0002041	328
DG0005281	328
DG0005187	328
DG0005650	328
DG0005534	328
DG0000237	327
DG0002014	327
DG0000789	327
DG0002011	327
DG0001663	327
DG0002910	326
DG0001966	326
DG0006756	326
DG0006891	326
DG0008392	326
DG0001711	326
DG0005222	326
DG0000987	326
DG0001965	326
DG0004939	325
DG0001171	325
DG0008792	325
DG0004469	325
DG0008763	325
DG0008738	325
DG0005241	324
DG0001443	324
DG0002006	324
DG0005401	324
DG0006744	323
DG0003174	323
DG0001235	323
DG0008665	323
DG0002821	323
DG0007034	322
DG0000063	322
DG0008300	322
DG0001176	322
DG0000841	322
DG0004226	322
DG0007137	321
DG0008612	321
DG0008913	321
DG0008695	321
DG0007070	320
DG0005537	320
DG0006983	320
DG0006926	320
DG0005243	320
DG0003645	320
DG0000682	320
DG0000582	319
DG0005272	319
DG0007234	319
DG0001579	319
DG0002831	319
DG0002285	319
DG0008723	319
DG0003791	319
DG0008784	319
DG0007099	318
DG0005390	318
DG0007165	318
DG0001791	318
DG0000125	318
DG0000732	318
DG0005229	318
DG0006689	318
DG0008854	318
DG0001172	318
DG0001705	318
DG0005471	318
DG0000441	318
DG0008371	317
DG0001903	317
DG0000373	317
DG0000334	317
DG0005057	317
DG0007081	317
DG0006512	317
DG0008581	316
DG0005341	316
DG0000169	316
DG0003015	316
DG0001915	316
DG0006233	316
DG0000081	316
DG0007029	316
DG0000455	316
DG0001821	316
DG0004837	315
DG0002655	315
DG0005684	315
DG0005578	315
DG0000936	315
DG0008362	315
DG0000427	315
DG0002010	314
DG0008843	313
DG0000415	313
DG0002254	313
DG0002418	313
DG0000367	312
DG0005039	312
DG0001116	312
DG0003615	312
DG0002987	312
DG0005256	312
DG0007113	312
DG0000791	311
DG0007038	311
DG0005072	311
DG0007028	311
DG0000790	311
DG0005328	311
DG0006965	310
DG0008827	310
DG0005546	310
DG0008795	310
DG0005421	310
DG0001431	310
DG0002430	310
DG0008624	310
DG0005034	310
DG0007047	309
DG0000254	309
DG0003338	309
DG0008830	309
DG0006938	309
DG0000433	309
DG0007142	309
DG0008303	309
DG0005247	309
DG0000804	308
DG0002850	308
DG0005136	308
DG0006368	308
DG0000949	308
DG0003352	307
DG0006984	307
DG0003183	307
DG0001910	307
DG0005164	307
DG0000541	307
DG0006783	306
DG0005157	306
DG0006785	306
DG0005140	305
DG0001391	305
DG0000624	305
DG0000111	305
DG0008693	305
DG0002044	305
DG0007979	305
DG0006948	305
DG0007250	305
DG0008904	305
DG0008434	305
DG0008781	304
DG0006933	304
DG0006694	304
DG0008683	304
DG0001450	304
DG0000454	304
DG0001784	304
DG0006964	304
DG0002805	304
DG0007130	304
DG0006800	303
DG0005189	303
DG0002973	303
DG0001719	303
DG0002977	303
DG0008689	303
DG0008563	303
DG0008764	303
DG0007020	303
DG0007689	302
DG0002009	302
DG0007152	302
DG0002216	302
DG0005668	301
DG0003778	301
DG0007041	301
DG0001192	301
DG0000442	300
DG0005574	300
DG0005173	300
DG0001826	300
DG0008777	300
DG0007026	299
DG0008536	299
DG0007077	299
DG0000587	299
DG0007172	299
DG0001421	299
DG0002422	298
DG0003502	298
