	VectorID1
SWAP	417534
SCAFFOLD_MISMATCH	2196
DG0003642	685
DG0007039	641
DG0007094	615
DG0008651	600
DG0003641	598
DG0008640	563
DG0006651	560
DG0005134	546
DG0006973	530
DG0000030	530
DG0007122	523
DG0007061	521
DG0007086	496
DG0004424	494
DG0007079	491
DG0008306	488
DG0005194	486
DG0001534	485
DG0005069	479
DG0008650	477
DG0005228	476
DG0005643	476
DG0007092	475
DG0003784	471
DG0008491	465
DG0001790	459
DG0000597	458
DG0008782	458
DG0000059	456
DG0002035	455
DG0000437	454
DG0006322	454
DG0005282	453
DG0000598	452
DG0007607	449
DG0008720	445
DG0008684	444
DG0007706	438
DG0002513	433
DG0007262	431
DG0003161	429
DG0008712	426
DG0008887	426
DG0006869	426
DG0008705	425
DG0006994	422
DG0005123	421
DG0007001	421
DG0008686	416
DG0005195	416
DG0005188	414
DG0006924	414
DG0007095	412
DG0008851	412
DG0008561	411
DG0008485	411
DG0008644	408
DG0008748	407
DG0008568	407
DG0008641	404
DG0007059	403
DG0008719	403
DG0008679	403
DG0005075	402
DG0008450	401
DG0007035	400
DG0000797	399
DG0002741	398
DG0005122	397
DG0008706	395
DG0008370	393
DG0008625	392
DG0003021	392
DG0002039	391
DG0007098	388
DG0008704	388
DG0007093	386
DG0008691	386
DG0000589	384
DG0008124	383
DG0006926	382
DG0008497	382
DG0000027	382
DG0003900	381
DG0005209	379
DG0008545	379
DG0008717	379
DG0007143	379
DG0008647	378
DG0002024	377
DG0007072	377
DG0002055	376
DG0006790	376
DG0003182	376
DG0004891	375
DG0002652	374
DG0003201	374
DG0002843	374
DG0005026	374
DG0008675	373
DG0007085	373
DG0007048	373
DG0007032	373
DG0000955	372
DG0001947	372
DG0000809	371
DG0008646	371
DG0001533	369
DG0000189	369
DG0008738	368
DG0000015	368
DG0008569	367
DG0001547	367
DG0008784	367
DG0006955	365
DG0008822	365
DG0005428	365
DG0002495	364
DG0001373	364
DG0000453	363
DG0008878	363
DG0003613	363
DG0006996	362
DG0005174	362
DG0007145	361
DG0007022	361
DG0002907	360
DG0002018	360
DG0003352	359
DG0002973	359
DG0007008	359
DG0000841	359
DG0008639	358
DG0007127	358
DG0008401	358
DG0008298	355
DG0008732	354
DG0007029	354
DG0001196	353
DG0005534	352
DG0001903	352
DG0007302	351
DG0005058	350
DG0006949	350
DG0005140	349
DG0008577	349
DG0003181	348
DG0005137	348
DG0008322	348
DG0000936	347
DG0007077	347
DG0008814	346
DG0007038	346
DG0008560	345
DG0008587	345
DG0008621	345
DG0008755	344
DG0006857	344
DG0001834	343
DG0007087	343
DG0008697	343
DG0002006	343
DG0008100	342
DG0008475	342
DG0003351	341
DG0005352	340
DG0004911	340
DG0008487	340
DG0008396	340
DG0007203	340
DG0001719	339
DG0000023	339
DG0005470	338
DG0008796	338
DG0001774	338
DG0001519	337
DG0002422	336
DG0006972	336
DG0008797	336
DG0000618	335
DG0001406	335
DG0000693	335
DG0005341	335
DG0003763	335
DG0007172	334
DG0008397	333
DG0003478	333
DG0008660	333
DG0005051	333
DG0008538	333
DG0007042	332
DG0005091	332
DG0005399	331
DG0006849	331
DG0008757	331
DG0008300	331
DG0007165	330
DG0007000	329
DG0001408	329
DG0002715	329
DG0000945	328
DG0004854	328
DG0008725	327
DG0003175	327
DG0006916	327
DG0008745	327
DG0001188	326
DG0008874	326
DG0008754	325
DG0008584	325
DG0000254	325
DG0004796	325
DG0005172	324
DG0007136	324
DG0000535	324
DG0007137	324
DG0007118	324
DG0000885	324
DG0007018	323
DG0005196	323
DG0006966	323
DG0000007	323
DG0006959	323
DG0005107	322
DG0007041	322
DG0008508	322
DG0004981	321
DG0005551	320
DG0008469	320
DG0000519	319
DG0000804	319
DG0005017	318
DG0008711	318
DG0004805	318
DG0007180	317
DG0005061	317
DG0007131	317
DG0007011	317
DG0005305	317
DG0007107	317
DG0005577	317
DG0007170	316
DG0005239	316
DG0006838	316
DG0001515	316
DG0008848	315
DG0005557	315
DG0005654	315
DG0006984	315
DG0008634	315
DG0003615	315
DG0007009	315
DG0001523	315
DG0004152	314
DG0005187	314
DG0007210	314
DG0001915	314
DG0001679	314
DG0002439	313
DG0001361	313
DG0002216	313
DG0008688	313
DG0008661	313
DG0007275	312
DG0008759	312
DG0005661	312
DG0007113	312
DG0000581	312
DG0005519	312
DG0005197	311
DG0005189	311
DG0000515	311
DG0000252	311
DG0006688	311
DG0005644	311
DG0008830	311
DG0002655	310
DG0007126	310
DG0006875	310
DG0005203	310
DG0008739	310
DG0005509	310
DG0006775	309
DG0001920	309
DG0005150	309
DG0007416	309
DG0002685	309
DG0008653	309
DG0005571	308
DG0005186	308
DG0008303	307
DG0008898	307
DG0001809	306
DG0008781	306
DG0000061	306
DG0006368	306
DG0001391	305
DG0008477	305
DG0005099	305
DG0006989	305
DG0008699	304
DG0002426	304
DG0008665	304
DG0007220	304
DG0005487	304
DG0008815	303
DG0001846	303
DG0004893	303
DG0005390	303
DG0002356	302
DG0008733	302
DG0000433	302
DG0008449	301
DG0007067	301
DG0007215	301
DG0007071	300
DG0001171	300
DG0000623	300
DG0007409	300
DG0002010	299
DG0006784	299
DG0001334	299
DG0005546	299
DG0001986	299
DG0001496	299
DG0001403	298
DG0000081	298
DG0001778	298
DG0008698	297
DG0001522	297
DG0008580	297
DG0001792	297
DG0008263	297
DG0008605	297
DG0008900	297
DG0008676	296
DG0008606	295
DG0005394	295
DG0005574	295
DG0002832	295
DG0006957	294
DG0008572	294
DG0000765	294
DG0000087	294
DG0004953	294
DG0008827	294
DG0004784	293
DG0008534	293
DG0008629	293
DG0000987	293
DG0005272	293
DG0000577	293
DG0007064	292
DG0007115	292
DG0001229	292
DG0005493	292
DG0007050	292
DG0008749	291
DG0002016	291
DG0007545	291
DG0006776	291
DG0001377	291
DG0002523	290
DG0003066	289
DG0003645	289
DG0008527	289
DG0005062	289
DG0008304	289
DG0002418	289
DG0002931	288
DG0005537	288
DG0001527	288
DG0002430	288
DG0007040	288
DG0008614	288
DG0004828	287
DG0005940	287
DG0005236	287
DG0004940	287
DG0000791	287
DG0008854	286
DG0000541	286
DG0001923	286
DG0001180	285
DG0008829	285
DG0008278	285
DG0006883	285
DG0000018	285
DG0008387	284
DG0005679	284
DG0002419	284
DG0000114	284
DG0005117	284
DG0005096	284
DG0007031	283
DG0008896	283
DG0008563	283
DG0000527	283
DG0006933	283
DG0001898	283
DG0008764	283
DG0005241	282
DG0002514	282
DG0008332	282
DG0000334	282
DG0005138	282
DG0000530	281
DG0008365	281
DG0000237	281
DG0000455	281
DG0001966	280
DG0001700	280
DG0003522	280
DG0003069	280
DG0002716	279
DG0008893	279
DG0008867	279
DG0005144	279
DG0001495	278
DG0006885	278
DG0003388	278
DG0008695	278
DG0004275	278
DG0001663	278
DG0004614	278
DG0003500	277
DG0005322	277
DG0004998	277
DG0007045	277
DG0006965	277
DG0005559	276
DG0008789	276
DG0007164	276
DG0008558	276
DG0001443	276
DG0008620	275
DG0005104	275
DG0001810	275
DG0008683	275
DG0005535	275
DG0008758	275
DG0000043	275
DG0001728	275
DG0000663	275
DG0007301	275
DG0005650	274
DG0002037	274
DG0000445	274
DG0002882	273
DG0003744	273
DG0006954	273
DG0007261	273
DG0002520	273
DG0003778	273
DG0001035	273
DG0008696	273
DG0002002	273
DG0001507	273
DG0005363	272
DG0000234	272
DG0001965	272
DG0001822	272
DG0008913	272
DG0005625	271
DG0004882	271
DG0003343	271
DG0005057	271
DG0005334	271
DG0007034	270
DG0003459	270
DG0005504	270
DG0001909	270
DG0002279	270
DG0005601	270
DG0001241	270
DG0005223	270
DG0008852	270
DG0003931	270
DG0005224	269
DG0000441	269
DG0008624	269
DG0000587	268
DG0005540	268
DG0006783	268
DG0003438	268
DG0007049	268
DG0006694	268
DG0000990	268
DG0007010	267
DG0008631	267
DG0000053	267
DG0005183	267
DG0004987	267
DG0008361	267
DG0002494	267
DG0000682	267
DG0000786	267
DG0001513	266
DG0001490	266
DG0008434	266
DG0005071	266
DG0001916	266
DG0002051	266
DG0005012	266
DG0008503	266
DG0003067	266
DG0001473	265
DG0001784	265
DG0005164	265
DG0003897	265
DG0000801	265
DG0000888	265
DG0005408	265
DG0004877	265
DG0001770	264
DG0008438	264
DG0000454	264
DG0000373	264
DG0001144	264
DG0001103	264
DG0006758	264
DG0006789	264
DG0001715	263
DG0007054	263
DG0002729	263
DG0007552	263
DG0008472	263
DG0005127	263
DG0005573	263
DG0007089	263
DG0002932	263
DG0005184	263
DG0005110	263
DG0000784	263
DG0008862	263
DG0001525	262
DG0008525	262
DG0000676	262
DG0000673	262
DG0000005	262
DG0002955	262
DG0005403	262
DG0008666	262
DG0006834	262
DG0005219	261
DG0005555	261
DG0002053	261
DG0000029	261
DG0000845	261
DG0005453	261
DG0005082	261
DG0002050	261
DG0002463	260
DG0000249	260
DG0005083	260
DG0008566	260
DG0001116	260
DG0005421	260
DG0003387	260
DG0007673	260
DG0005065	259
DG0000443	259
DG0005125	259
DG0005247	259
DG0000215	259
DG0001392	259
DG0001990	259
DG0000449	259
DG0005401	259
DG0005039	259
DG0000047	258
DG0003183	258
DG0000442	258
DG0005079	258
DG0005181	258
DG0002519	258
DG0006980	258
DG0002027	258
DG0008307	257
DG0008817	257
DG0008773	257
DG0002587	257
DG0005637	257
DG0000585	257
DG0001791	257
DG0007235	257
DG0001374	257
DG0008868	257
DG0003599	257
DG0003791	257
DG0007168	257
DG0002575	257
DG0006822	257
DG0001471	256
DG0000698	256
DG0002011	256
DG0001813	256
DG0006689	256
DG0005136	255
DG0008465	255
DG0005381	255
DG0005742	255
DG0000126	255
DG0000617	255
DG0006964	255
DG0001414	255
DG0001235	255
DG0008338	255
DG0008581	255
DG0002347	254
DG0005229	254
DG0008602	254
DG0000451	254
DG0008668	254
DG0007317	254
DG0005095	253
DG0002004	253
DG0006744	253
DG0005243	253
DG0002052	253
DG0007070	253
DG0001379	253
DG0008573	252
DG0005556	252
DG0005213	252
DG0008911	252
DG0002041	252
DG0000041	252
DG0005464	252
DG0000253	251
DG0006975	251
DG0001579	250
DG0000415	250
DG0002646	250
DG0000057	250
DG0008617	250
DG0002475	250
DG0000694	250
DG0003463	250
DG0007026	250
DG0001643	250
DG0008384	250
DG0002284	249
DG0003001	249
DG0006879	249
DG0005214	249
DG0008166	249
DG0000837	249
DG0000594	249
DG0006983	249
DG0000173	249
DG0005070	249
DG0001481	248
DG0000703	248
DG0002033	248
DG0002286	248
DG0005067	248
DG0008777	248
DG0008501	248
DG0008296	248
DG0005596	248
DG0007101	248
DG0005543	248
DG0003628	247
DG0002866	247
DG0001159	247
DG0001421	247
DG0001453	247
DG0005130	247
DG0008314	247
DG0001599	247
DG0007934	246
DG0005313	246
