	VectorID1
SWAP	343240
SCAFFOLD_MISMATCH	1666
DG0008651	529
DG0007122	508
DG0003642	485
DG0006973	485
DG0008640	462
DG0007039	455
DG0007094	443
DG0008782	431
DG0008650	428
DG0005194	428
DG0008686	427
DG0006869	423
DG0005134	420
DG0005069	413
DG0003161	403
DG0007092	402
DG0007086	394
DG0007115	391
DG0003641	389
DG0003182	378
DG0006994	375
DG0008647	373
DG0002513	368
DG0008706	365
DG0007035	364
DG0004796	361
DG0007095	361
DG0008646	357
DG0008560	352
DG0008485	346
DG0007079	346
DG0008545	343
DG0000007	343
DG0007072	341
DG0007607	340
DG0005075	339
DG0002035	337
DG0005209	337
DG0004424	336
DG0001790	335
DG0008561	334
DG0002741	334
DG0008732	334
DG0008497	333
DG0007087	331
DG0006790	330
DG0001534	330
DG0003181	328
DG0008675	326
DG0008739	325
DG0007145	323
DG0006322	323
DG0007022	322
DG0008306	321
DG0000809	321
DG0003478	320
DG0008887	319
DG0008697	316
DG0007934	316
DG0008748	316
DG0000597	315
DG0005661	315
DG0000015	314
DG0003613	313
DG0000023	313
DG0007000	313
DG0008621	312
DG0007085	312
DG0005157	311
DG0007061	311
DG0006965	311
DG0008725	311
DG0003021	310
DG0007001	310
DG0008712	310
DG0007093	310
DG0001792	310
DG0006924	309
DG0000189	309
DG0000585	309
DG0000437	309
DG0008605	309
DG0008679	308
DG0000059	307
DG0000252	306
DG0008705	305
DG0008538	304
DG0008569	304
DG0008691	303
DG0000453	302
DG0004981	302
DG0003784	301
DG0008100	301
DG0006966	301
DG0001373	301
DG0005428	299
DG0000797	299
DG0008851	299
DG0001728	298
DG0005282	298
DG0006688	297
DG0005643	297
DG0006972	295
DG0008720	295
DG0008745	295
DG0001196	295
DG0006775	295
DG0008401	295
DG0001519	294
DG0007262	294
DG0008298	294
DG0008568	293
DG0008754	293
DG0000598	293
DG0001523	291
DG0008684	290
DG0008854	288
DG0007706	288
DG0008450	288
DG0002055	288
DG0007059	288
DG0008475	288
DG0008717	288
DG0006949	287
DG0008699	287
DG0004893	287
DG0008822	287
DG0000451	286
DG0000618	286
DG0000694	286
DG0005509	286
DG0008625	286
DG0005107	286
DG0006651	286
DG0008723	285
DG0000122	285
DG0008896	285
DG0005679	284
DG0002018	284
DG0000334	283
DG0005352	283
DG0008814	282
DG0005051	282
DG0008469	281
DG0007220	281
DG0005174	279
DG0000030	279
DG0002652	279
DG0005551	278
DG0007048	278
DG0007038	278
DG0005026	278
DG0007203	278
DG0005272	277
DG0000682	277
DG0000589	277
DG0005228	276
DG0006849	276
DG0007008	276
DG0008577	275
DG0005137	275
DG0008619	275
DG0005464	275
DG0007074	273
DG0002356	273
DG0007118	273
DG0005470	272
DG0005150	272
DG0002024	272
DG0008491	272
DG0008711	271
DG0007040	271
DG0008653	271
DG0005401	270
DG0006955	270
DG0000173	270
