	VectorID1
SWAP	398830
SCAFFOLD_MISMATCH	1903
DG0003642	612
DG0007094	585
DG0008706	581
DG0008651	574
DG0005194	566
DG0008887	545
DG0007039	536
DG0005134	531
DG0005069	530
DG0008647	529
DG0008650	517
DG0000597	515
DG0003182	515
DG0006973	501
DG0000589	478
DG0007095	472
DG0003613	471
DG0008782	469
DG0007079	459
DG0002035	456
DG0005470	455
DG0008491	443
DG0000059	441
DG0003161	438
DG0005172	434
DG0005075	434
DG0002495	433
DG0003641	433
DG0007086	431
DG0007607	431
DG0005557	430
DG0001525	429
DG0008640	424
DG0007022	421
DG0006994	419
DG0008561	415
DG0008739	413
DG0008646	412
DG0001534	407
DG0007093	405
DG0005137	404
DG0007035	404
DG0008306	400
DG0007072	399
DG0003201	398
DG0005122	398
DG0002843	397
DG0004796	395
DG0005643	394
DG0006688	394
DG0007092	392
DG0006849	391
DG0008822	391
DG0008725	391
DG0007126	390
DG0002513	390
DG0007145	390
DG0005026	390
DG0007220	390
DG0008686	389
DG0000945	388
DG0008475	388
DG0004424	388
DG0002439	387
DG0008720	386
DG0007706	386
DG0008298	385
DG0005679	385
DG0000007	384
DG0008719	381
DG0004981	381
DG0007085	380
DG0000598	379
DG0001171	378
DG0007131	378
DG0000018	376
DG0008605	375
DG0008621	372
DG0008656	372
DG0008322	371
DG0000005	371
DG0003181	371
DG0008625	371
DG0006869	370
DG0007143	370
DG0006322	370
DG0001903	369
DG0008691	369
DG0000582	368
DG0007122	367
DG0008560	367
DG0007001	366
DG0002955	366
DG0000585	365
DG0008572	365
DG0000023	364
DG0008705	364
DG0007040	364
DG0000029	362
DG0001915	361
DG0005571	361
DG0008664	359
DG0000999	358
DG0001792	358
DG0005661	358
DG0003351	357
DG0003784	356
DG0000618	355
DG0003021	354
DG0007082	354
DG0007054	354
DG0008332	353
DG0008660	353
DG0006651	352
DG0008527	352
DG0008699	352
DG0001533	351
DG0008666	351
DG0006926	351
DG0008401	350
DG0007008	350
DG0006790	350
DG0006972	349
DG0002006	348
DG0002347	348
DG0007673	348
DG0007077	348
DG0005577	347
DG0001103	346
DG0002036	346
DG0000519	344
DG0000694	344
DG0002024	343
DG0008653	343
DG0001406	342
DG0007215	341
DG0005150	341
DG0008698	341
DG0008675	340
DG0007010	339
DG0003763	339
DG0005352	339
DG0004891	339
DG0003478	339
DG0008497	339
DG0005684	339
DG0008450	338
DG0005596	338
DG0007118	338
DG0007127	337
DG0008896	337
DG0008568	336
DG0005188	336
DG0007061	336
DG0008620	336
DG0006924	336
DG0008745	336
DG0003900	336
DG0008503	336
DG0000030	334
DG0001408	334
DG0000454	334
DG0006989	334
DG0005428	334
DG0000061	334
DG0006879	333
DG0006875	332
DG0000145	332
DG0008300	332
DG0000786	332
DG0006955	331
DG0007045	331
DG0005103	331
DG0008634	330
DG0007172	330
DG0008584	330
DG0007048	330
DG0001473	330
DG0004939	329
DG0008579	329
DG0007302	329
DG0005534	329
DG0000015	328
DG0001791	328
DG0001938	328
DG0005363	327
DG0007203	327
DG0006954	327
DG0000515	327
DG0003066	327
DG0005161	326
DG0007098	325
DG0005543	325
DG0000189	325
DG0007108	324
DG0006775	324
DG0008538	323
DG0000797	322
DG0007137	322
DG0008854	321
DG0005228	321
DG0008661	320
DG0008487	320
DG0008753	320
DG0001515	319
DG0000527	319
DG0002652	318
DG0004860	318
DG0004784	318
DG0001947	318
DG0005401	317
DG0001192	317
DG0003502	317
DG0002821	317
DG0008545	316
DG0008688	316
DG0005200	314
DG0008784	313
DG0008711	312
DG0005341	312
DG0006975	312
DG0001790	312
DG0005209	312
DG0007115	311
DG0003671	311
DG0008717	310
DG0006789	310
DG0006756	309
DG0006785	309
DG0005282	309
DG0000295	309
DG0006764	309
DG0008684	309
DG0005091	309
DG0007262	309
DG0008166	308
DG0005130	308
DG0005241	308
DG0004275	308
DG0001547	307
DG0008617	307
DG0007146	307
DG0000437	307
DG0005222	307
DG0005187	306
DG0005050	306
DG0001705	306
DG0006891	306
DG0000804	306
DG0002987	305
DG0005186	305
DG0000081	305
DG0006800	304
DG0005394	304
DG0001392	304
DG0001923	304
DG0001909	303
DG0002419	303
DG0007210	303
DG0003183	302
DG0008124	302
DG0002422	302
DG0000087	302
DG0001965	302
DG0000845	302
DG0001809	302
DG0002055	301
DG0008631	301
DG0001196	300
DG0000427	298
DG0008569	298
DG0001826	298
DG0003791	297
DG0004911	297
DG0007038	297
DG0000630	297
DG0001374	297
DG0006691	297
DG0000727	296
DG0007032	296
DG0008704	296
DG0008469	296
DG0000122	296
DG0007558	296
DG0007409	296
DG0007042	296
DG0005305	296
DG0007041	295
DG0000435	295
DG0005625	295
DG0008485	295
DG0007066	294
DG0008829	294
DG0000733	294
DG0002479	294
DG0004614	294
DG0004998	294
DG0002356	294
DG0001437	294
DG0007070	293
DG0008902	293
DG0000936	293
DG0007552	293
DG0000651	293
DG0008796	293
DG0000583	292
DG0008748	292
DG0008874	291
DG0008904	291
DG0003948	291
DG0005106	290
DG0005510	290
DG0000323	290
DG0003953	290
DG0008577	290
DG0005189	290
DG0008499	290
DG0001531	289
DG0001810	289
DG0005559	289
DG0005236	289
DG0000456	289
DG0005184	289
DG0008392	289
DG0005195	289
DG0001063	288
DG0008549	288
DG0001920	288
DG0002800	288
DG0000535	288
DG0007029	288
DG0001813	288
DG0003174	288
DG0001959	288
DG0008370	288
DG0001431	288
DG0006783	288
DG0005123	288
DG0006233	287
DG0007416	287
DG0008587	287
DG0002519	286
DG0004987	286
DG0005062	285
DG0002004	285
DG0004948	285
DG0007087	285
DG0008900	284
DG0008644	284
DG0000237	284
DG0007059	284
DG0002905	283
DG0001505	283
DG0008645	283
DG0008641	283
DG0005421	283
DG0008614	283
DG0002651	283
DG0005144	282
DG0002741	282
DG0007009	282
DG0000063	282
DG0008309	282
DG0008629	282
DG0002216	281
DG0005203	281
DG0002039	281
DG0006965	281
DG0006721	281
DG0002973	281
DG0005072	281
DG0000253	281
DG0000994	281
DG0001496	281
DG0007099	281
DG0000334	281
DG0005551	281
DG0000693	280
DG0008913	280
DG0005082	280
DG0002588	280
DG0006744	280
DG0008477	280
DG0007071	280
DG0007180	279
DG0006967	279
DG0006937	279
DG0001728	279
DG0004854	279
DG0005334	279
DG0008878	279
DG0000181	279
DG0008814	279
DG0003614	278
DG0008730	278
DG0008749	278
DG0001786	277
DG0008601	277
DG0005223	277
DG0006780	277
DG0007011	276
DG0001153	276
DG0007002	276
DG0006966	276
DG0002965	275
DG0000998	275
DG0008687	275
DG0005578	275
DG0000757	275
DG0008867	275
DG0005644	274
DG0000045	274
DG0005504	274
DG0002338	274
DG0000446	274
DG0008525	274
DG0001391	274
DG0002018	274
DG0008338	273
DG0008712	273
DG0000661	273
DG0006512	273
DG0001727	273
DG0002959	273
DG0007121	272
DG0005239	272
DG0007047	272
DG0000441	272
DG0002986	272
DG0006784	272
DG0007301	272
DG0007101	272
DG0008590	272
DG0006758	272
DG0000455	271
DG0000529	271
DG0005407	271
DG0002716	271
DG0002639	271
DG0008754	271
DG0007136	271
DG0000837	271
DG0000809	271
DG0000537	271
DG0005061	270
DG0008619	270
DG0005017	270
DG0000215	270
DG0008671	270
DG0000841	270
DG0007034	270
DG0001700	270
DG0008743	270
DG0001774	269
DG0008639	269
DG0001377	269
DG0007452	269
DG0008565	269
DG0008472	269
DG0008757	269
DG0008371	269
DG0005229	268
DG0000594	268
DG0000027	268
DG0003500	268
DG0000943	268
DG0003778	268
DG0008777	268
DG0003317	268
DG0005446	267
DG0008692	267
DG0000587	267
DG0008449	267
DG0008755	267
DG0008898	266
DG0000987	266
DG0001954	266
DG0005546	266
DG0008862	266
DG0007934	266
DG0007221	265
DG0006729	265
DG0000169	265
DG0005110	265
DG0008581	265
DG0001159	264
DG0000434	264
DG0000653	264
DG0000173	264
DG0005197	263
DG0005422	263
DG0000367	263
DG0006782	262
DG0002704	262
DG0004226	262
DG0000043	262
DG0000699	262
DG0008303	262
DG0000991	261
DG0001595	261
DG0008713	261
DG0001822	261
DG0006368	261
DG0007165	261
DG0008100	261
DG0008851	260
DG0002837	260
DG0007292	260
DG0001663	260
DG0000635	260
DG0000959	260
DG0000031	260
DG0004837	260
DG0006686	260
DG0008582	260
DG0001421	260
DG0000011	260
DG0005068	259
DG0006980	259
DG0008738	259
DG0005012	259
DG0007113	259
DG0001471	259
DG0008301	259
DG0005377	259
DG0005214	259
DG0005001	258
DG0007160	258
DG0007184	258
DG0003065	258
DG0000082	258
DG0006933	258
DG0006885	257
DG0000106	257
DG0002448	257
DG0003067	257
DG0008434	257
DG0008834	257
DG0002047	256
DG0004470	256
DG0001163	256
DG0007107	256
DG0006961	256
DG0008406	256
DG0004805	256
DG0004800	256
DG0002337	256
DG0000639	255
DG0004777	255
DG0008508	255
DG0000125	255
DG0008732	254
DG0000790	254
DG0008580	254
DG0006749	254
DG0006949	254
DG0003792	254
DG0006768	254
DG0008795	254
DG0007020	253
DG0000745	253
DG0008679	253
DG0008559	253
DG0001218	253
DG0005174	253
DG0001711	253
DG0008674	252
DG0008785	252
DG0008758	252
DG0004965	252
DG0006983	252
DG0000623	252
DG0008792	252
DG0000279	252
DG0005487	252
DG0001144	252
DG0005127	252
DG0001955	252
DG0008832	252
DG0004893	252
DG0002912	252
DG0008787	252
DG0005537	251
DG0006881	251
DG0000248	251
DG0006556	251
DG0005296	251
DG0005058	251
DG0008873	251
DG0002284	251
DG0000445	251
DG0008702	251
DG0007049	251
DG0001249	251
DG0005403	250
DG0000365	250
DG0006689	250
DG0000091	250
DG0005243	250
DG0005049	250
DG0002655	250
DG0008381	250
DG0001897	250
DG0006865	250
DG0003588	250
DG0002286	250
DG0008855	250
DG0003501	249
DG0001198	249
DG0000057	249
DG0007159	249
DG0002011	249
DG0000451	249
DG0006968	249
DG0008314	248
DG0003338	248
DG0008815	248
DG0007000	248
DG0008458	248
DG0006970	248
DG0005683	248
DG0005071	248
DG0000013	248
DG0006787	248
DG0005601	248
DG0005362	248
DG0007234	247
DG0002279	247
DG0006748	247
DG0005533	247
DG0002991	247
DG0006699	247
DG0002832	247
DG0002805	246
DG0002910	246
DG0000732	246
DG0005595	246
DG0008689	246
DG0000728	246
DG0000579	246
DG0002897	246
DG0001999	246
DG0000284	246
DG0005408	245
DG0006984	245
DG0002715	245
DG0000047	245
DG0002285	245
DG0001229	245
DG0001373	245
DG0005107	245
DG0002907	245
DG0001713	245
DG0006964	245
DG0000439	245
DG0001334	245
DG0007275	244
DG0000659	244
DG0007028	244
DG0002475	244
DG0002931	244
DG0008697	244
DG0007196	244
DG0005083	244
DG0002053	244
DG0000682	243
DG0006700	243
DG0000233	243
DG0008763	243
DG0008779	243
DG0002520	242
DG0000581	242
DG0007250	242
DG0001172	242
DG0000949	242
DG0002427	242
DG0006910	242
DG0005940	242
DG0008665	242
DG0008877	242
DG0000453	242
DG0003175	241
DG0002587	241
DG0000813	241
DG0007130	241
DG0007064	241
DG0008421	241
DG0001788	241
DG0005556	241
DG0007709	241
DG0004828	241
DG0006678	241
DG0008278	241
DG0008694	241
DG0005244	241
DG0000254	240
DG0000577	240
DG0000185	240
DG0005552	240
DG0008606	240
DG0001403	240
DG0007088	240
DG0002418	240
DG0008696	240
DG0001782	240
DG0005117	240
DG0003352	240
DG0005574	240
DG0007081	240
DG0004658	239
DG0000085	239
DG0000593	239
DG0005650	239
DG0005096	239
DG0005141	239
DG0005322	239
